dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000008,6.500000,0.000029,0.002943,0.147127,7.356326,0.000002
0.020000,0.000096,6.500000,0.000118,0.005885,0.147127,0.000000,0.000018
0.020000,0.000244,6.500000,0.000265,0.008828,0.147127,0.000000,0.000046
0.020000,0.000450,6.500000,0.000471,0.011770,0.147127,-0.000000,0.000085
0.020000,0.000714,6.500000,0.000736,0.014713,0.147127,0.000000,0.000135
0.020000,0.001038,6.500000,0.001059,0.017655,0.147127,0.000000,0.000197
0.020000,0.001421,6.500000,0.001442,0.020598,0.147127,-0.000000,0.000269
0.020000,0.001862,6.500000,0.001883,0.023540,0.147127,-0.000000,0.000353
0.020000,0.002362,6.500001,0.002383,0.026483,0.147127,0.000000,0.000448
0.020000,0.002921,6.500001,0.002943,0.029425,0.147127,-0.000000,0.000554
0.020000,0.003539,6.500001,0.003560,0.032368,0.147127,0.000000,0.000671
0.020000,0.004216,6.500002,0.004237,0.035310,0.147127,0.000000,0.000800
0.020000,0.004952,6.500002,0.004973,0.038253,0.147127,-0.000000,0.000939
0.020000,0.005746,6.500003,0.005767,0.041195,0.147127,0.000000,0.001090
0.020000,0.006599,6.500004,0.006621,0.044138,0.147127,-0.000000,0.001252
0.020000,0.007512,6.500005,0.007533,0.047080,0.147127,0.000000,0.001426
0.020000,0.008483,6.500007,0.008504,0.050023,0.147127,0.000000,0.001610
0.020000,0.009513,6.500009,0.009534,0.052966,0.147127,0.000000,0.001806
0.020000,0.010601,6.500011,0.010623,0.055908,0.147127,-0.000000,0.002013
0.020000,0.011749,6.500013,0.011770,0.058851,0.147127,0.000000,0.002232
0.020000,0.012955,6.500016,0.012977,0.061793,0.147127,0.000000,0.002461
0.020000,0.014221,6.500019,0.014242,0.064736,0.147127,-0.000000,0.002702
0.020000,0.015545,6.500023,0.015566,0.067678,0.147127,0.000000,0.002955
0.020000,0.016928,6.500027,0.016949,0.070621,0.147127,0.000000,0.003218
0.020000,0.018370,6.500032,0.018391,0.073563,0.147127,0.000000,0.003493
0.020000,0.019870,6.500038,0.019892,0.076506,0.147127,-0.000000,0.003780
0.020000,0.021430,6.500044,0.021451,0.079448,0.147127,0.000000,0.004078
0.020000,0.023048,6.500050,0.023069,0.082391,0.147127,0.000000,0.004387
0.020000,0.024725,6.500058,0.024747,0.085333,0.147127,-0.000000,0.004708
0.020000,0.026461,6.500067,0.026483,0.088276,0.147127,0.000000,0.005040
0.020000,0.028256,6.500076,0.028278,0.091218,0.147127,-0.000000,0.005384
0.020000,0.030110,6.500086,0.030132,0.094161,0.147127,0.000000,0.005739
0.020000,0.032023,6.500098,0.032044,0.097104,0.147127,0.000000,0.006106
0.020000,0.033994,6.500110,0.034016,0.100046,0.147127,0.000000,0.006484
0.020000,0.036024,6.500124,0.036046,0.102989,0.147127,0.000000,0.006874
0.020000,0.038114,6.500138,0.038135,0.105931,0.147127,0.000000,0.007275
0.020000,0.040262,6.500154,0.040283,0.108874,0.147127,-0.000000,0.007689
0.020000,0.042468,6.500172,0.042490,0.111816,0.147127,0.000000,0.008113
0.020000,0.044734,6.500191,0.044756,0.114759,0.147127,0.000000,0.008550
0.020000,0.047059,6.500211,0.047080,0.117701,0.147127,-0.000000,0.008998
0.020000,0.049442,6.500233,0.049464,0.120644,0.147127,0.000000,0.009458
0.020000,0.051884,6.500257,0.051906,0.123586,0.147127,-0.000000,0.009930
0.020000,0.054385,6.500282,0.054407,0.126529,0.147127,0.000000,0.010413
0.020000,0.056945,6.500309,0.056967,0.129471,0.147127,-0.000000,0.010909
0.020000,0.059564,6.500339,0.059586,0.132414,0.147127,0.000000,0.011416
0.020000,0.062241,6.500370,0.062264,0.135356,0.147127,0.000000,0.011935
0.020000,0.064978,6.500403,0.065000,0.138299,0.147127,0.000000,0.012467
0.020000,0.067773,6.500439,0.067796,0.141241,0.147127,0.000000,0.013010
0.020000,0.070627,6.500477,0.070650,0.144184,0.147127,0.000000,0.013565
0.020000,0.073540,6.500517,0.073563,0.147127,0.147127,0.000000,0.014132
0.020000,0.076511,6.500560,0.076535,0.150069,0.147127,-0.000000,0.014712
0.020000,0.079542,6.500606,0.079566,0.153012,0.147127,0.000000,0.015303
0.020000,0.082631,6.500654,0.082656,0.155954,0.147127,0.000000,0.015907
0.020000,0.085779,6.500705,0.085804,0.158897,0.147127,0.000000,0.016522
0.020000,0.088986,6.500759,0.089012,0.161839,0.147127,0.000000,0.017151
0.020000,0.092252,6.500816,0.092278,0.164782,0.147127,0.000000,0.017791
0.020000,0.095576,6.500876,0.095603,0.167724,0.147127,-0.000000,0.018444
0.020000,0.098960,6.500940,0.098987,0.170667,0.147127,0.000000,0.019109
0.020000,0.102402,6.501007,0.102429,0.173609,0.147127,0.000000,0.019786
0.020000,0.105903,6.501077,0.105931,0.176552,0.147127,0.000000,0.020476
0.020000,0.109462,6.501151,0.109492,0.179494,0.147127,0.000000,0.021179
0.020000,0.113081,6.501229,0.113111,0.182437,0.147127,-0.000000,0.021894
0.020000,0.116758,6.501311,0.116789,0.185379,0.147127,0.000000,0.022621
0.020000,0.120494,6.501397,0.120526,0.188322,0.147127,-0.000000,0.023362
0.020000,0.124289,6.501487,0.124322,0.191264,0.147127,0.000000,0.024115
0.020000,0.128142,6.501581,0.128177,0.194207,0.147127,-0.000000,0.024880
0.020000,0.132055,6.501680,0.132090,0.197150,0.147127,0.000000,0.025659
0.020000,0.136026,6.501784,0.136063,0.200092,0.147127,0.000000,0.026450
0.020000,0.140056,6.501892,0.140094,0.203035,0.147127,-0.000000,0.027255
0.020000,0.144144,6.502005,0.144184,0.205977,0.147127,0.000000,0.028072
0.020000,0.148291,6.502123,0.148333,0.208920,0.147127,-0.000000,0.028902
0.020000,0.152497,6.502247,0.152541,0.211862,0.147127,0.000000,0.029745
0.020000,0.156762,6.502376,0.156807,0.214805,0.147127,-0.000000,0.030602
0.020000,0.161086,6.502510,0.161133,0.217747,0.147127,0.000000,0.031471
0.020000,0.165468,6.502650,0.165517,0.220690,0.147127,0.000000,0.032354
0.020000,0.169908,6.502795,0.169961,0.223632,0.147127,-0.000000,0.033250
0.020000,0.174408,6.502947,0.174463,0.226575,0.147127,0.000000,0.034160
0.020000,0.178966,6.503105,0.179024,0.229517,0.147127,-0.000000,0.035082
0.020000,0.183583,6.503269,0.183643,0.232460,0.147127,0.000000,0.036019
0.020000,0.188259,6.503440,0.188322,0.235402,0.147127,-0.000000,0.036968
0.020000,0.192993,6.503617,0.193059,0.238345,0.147127,0.000000,0.037932
0.020000,0.197785,6.503801,0.197856,0.241288,0.147127,-0.000000,0.038909
0.020000,0.202637,6.503993,0.202711,0.244230,0.147127,0.000000,0.039899
0.020000,0.207547,6.504191,0.207625,0.247173,0.147127,-0.000000,0.040904
0.020000,0.212516,6.504397,0.212598,0.250115,0.147127,0.000000,0.041922
0.020000,0.217543,6.504611,0.217630,0.253058,0.147127,-0.000000,0.042954
0.020000,0.222628,6.504832,0.222720,0.256000,0.147127,-0.000000,0.044000
0.020000,0.227773,6.505061,0.227870,0.258943,0.147127,0.000000,0.045060
0.020000,0.232976,6.505298,0.233078,0.261885,0.147127,0.000000,0.046134
0.020000,0.238237,6.505544,0.238345,0.264828,0.147127,-0.000000,0.047222
0.020000,0.243557,6.505799,0.243671,0.267770,0.147127,0.000000,0.048325
0.020000,0.248935,6.506062,0.249056,0.270713,0.147127,0.000000,0.049442
0.020000,0.254372,6.506334,0.254499,0.273655,0.147127,0.000000,0.050573
0.020000,0.259868,6.506615,0.260002,0.276598,0.147127,0.000000,0.051718
0.020000,0.265421,6.506906,0.265563,0.279540,0.147127,0.000000,0.052878
0.020000,0.271034,6.507206,0.271184,0.282483,0.147127,0.000000,0.054053
0.020000,0.276704,6.507516,0.276863,0.285425,0.147127,-0.000000,0.055242
0.020000,0.282433,6.507837,0.282601,0.288368,0.147127,0.000000,0.056446
0.020000,0.288221,6.508167,0.288397,0.291311,0.147127,-0.000000,0.057665
0.020000,0.294066,6.508508,0.294253,0.294253,0.147127,0.000000,0.058898
0.020000,0.299970,6.508860,0.300168,0.297196,0.147127,-0.000000,0.060147
0.020000,0.305933,6.509223,0.306141,0.300138,0.147127,0.000000,0.061410
0.020000,0.311953,6.509597,0.312173,0.303081,0.147127,0.000000,0.062689
0.020000,0.318032,6.509982,0.318264,0.306023,0.147127,-0.000000,0.063982
0.020000,0.324169,6.510380,0.324414,0.308966,0.147127,0.000000,0.065291
0.020000,0.330364,6.510789,0.330623,0.311908,0.147127,0.000000,0.066615
0.020000,0.336618,6.511210,0.336890,0.314851,0.147127,0.000000,0.067955
0.020000,0.342929,6.511644,0.343217,0.317793,0.147127,0.000000,0.069310
0.020000,0.349299,6.512091,0.349602,0.320736,0.147127,0.000000,0.070681
0.020000,0.355727,6.512550,0.356046,0.323678,0.147127,0.000000,0.072067
0.020000,0.362212,6.513023,0.362549,0.326621,0.147127,-0.000000,0.073469
0.020000,0.368756,6.513509,0.369111,0.329563,0.147127,0.000000,0.074887
0.020000,0.375358,6.514009,0.375732,0.332506,0.147127,-0.000000,0.076320
0.020000,0.382018,6.514524,0.382411,0.335448,0.147127,-0.000000,0.077770
0.020000,0.388735,6.515052,0.389150,0.338391,0.147127,0.000000,0.079235
0.020000,0.395511,6.515595,0.395947,0.341334,0.147127,0.000000,0.080717
0.020000,0.402344,6.516153,0.402803,0.344276,0.147127,0.000000,0.082215
0.020000,0.409235,6.516726,0.409718,0.347219,0.147127,-0.000000,0.083729
0.020000,0.416184,6.517315,0.416692,0.350161,0.147127,0.000000,0.085259
0.020000,0.423191,6.517919,0.423724,0.353104,0.147127,0.000000,0.086806
0.020000,0.430255,6.518539,0.430816,0.356046,0.147127,0.000000,0.088370
0.020000,0.437377,6.519176,0.437966,0.358989,0.147127,0.000000,0.089950
0.020000,0.444557,6.519829,0.445175,0.361931,0.147127,0.000000,0.091547
0.020000,0.451794,6.520499,0.452443,0.364874,0.147127,-0.000000,0.093160
0.020000,0.459088,6.521187,0.459770,0.367816,0.147127,0.000000,0.094791
0.020000,0.466440,6.521892,0.467156,0.370759,0.147127,0.000000,0.096438
0.020000,0.473850,6.522615,0.474601,0.373701,0.147127,-0.000000,0.098103
0.020000,0.481317,6.523356,0.482104,0.376644,0.147127,-0.000000,0.099784
0.020000,0.488841,6.524116,0.489667,0.379586,0.147127,0.000000,0.101483
0.020000,0.496422,6.524895,0.497288,0.382529,0.147127,0.000000,0.103199
0.020000,0.504060,6.525692,0.504968,0.385471,0.147127,-0.000000,0.104933
0.020000,0.511756,6.526510,0.512707,0.388414,0.147127,0.000000,0.106684
0.020000,0.519508,6.527347,0.520504,0.391357,0.147127,0.000000,0.108452
0.020000,0.527318,6.528204,0.528361,0.394299,0.147127,0.000000,0.110239
0.020000,0.535185,6.529082,0.536276,0.397242,0.147127,0.000000,0.112043
0.020000,0.543108,6.529981,0.544250,0.400184,0.147127,0.000000,0.113865
0.020000,0.551088,6.530901,0.552284,0.403127,0.147127,0.000000,0.115704
0.020000,0.559125,6.531843,0.560376,0.406069,0.147127,-0.000000,0.117562
0.020000,0.567219,6.532806,0.568526,0.409012,0.147127,0.000000,0.119438
0.020000,0.575369,6.533792,0.576736,0.411954,0.147127,-0.000000,0.121333
0.020000,0.583576,6.534801,0.585004,0.414897,0.147127,-0.000000,0.123245
0.020000,0.591839,6.535832,0.593332,0.417839,0.147127,0.000000,0.125176
0.020000,0.600159,6.536888,0.601718,0.420782,0.147127,0.000000,0.127125
0.020000,0.608535,6.537967,0.610163,0.423724,0.147127,0.000000,0.129093
0.020000,0.616967,6.539070,0.618667,0.426667,0.147127,-0.000000,0.131080
0.020000,0.625455,6.540197,0.627230,0.429609,0.147127,0.000000,0.133085
