dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000002,1.855000,0.000029,0.002943,0.147170,7.358476,0.000005
0.020000,0.000099,1.855000,0.000130,0.005052,0.105447,-2.086135,6.283132
0.020000,0.000281,1.855000,0.000312,0.009094,0.202105,4.832900,6.283034
0.020000,0.000536,1.855000,0.000567,0.012732,0.181883,-1.011096,6.282897
0.020000,0.000863,1.855000,0.000894,0.016370,0.181877,-0.000290,6.282721
0.020000,0.001263,1.855000,0.001295,0.020007,0.181870,-0.000364,6.282506
0.020000,0.001736,1.854999,0.001767,0.023644,0.181861,-0.000446,6.282252
0.020000,0.002282,1.854999,0.002313,0.027281,0.181850,-0.000537,6.281959
0.020000,0.002900,1.854998,0.002931,0.030918,0.181838,-0.000613,6.281626
0.020000,0.003591,1.854997,0.003623,0.034554,0.181824,-0.000708,6.281255
0.020000,0.004355,1.854995,0.004386,0.038191,0.181808,-0.000794,6.280844
0.020000,0.005191,1.854993,0.005223,0.041826,0.181790,-0.000877,6.280395
0.020000,0.006101,1.854990,0.006132,0.045462,0.181771,-0.000971,6.279907
0.020000,0.007083,1.854987,0.007114,0.049097,0.181749,-0.001075,6.279379
0.020000,0.008137,1.854982,0.008169,0.052731,0.181726,-0.001155,6.278813
0.020000,0.009265,1.854977,0.009296,0.056365,0.181701,-0.001266,6.278208
0.020000,0.010465,1.854971,0.010496,0.059999,0.181674,-0.001353,6.277564
0.020000,0.011737,1.854963,0.011769,0.063632,0.181645,-0.001467,6.276881
0.020000,0.013082,1.854954,0.013114,0.067264,0.181613,-0.001571,6.276159
0.020000,0.014500,1.854944,0.014532,0.070896,0.181580,-0.001681,6.275398
0.020000,0.015991,1.854931,0.016022,0.074526,0.181544,-0.001783,6.274599
0.020000,0.017554,1.854917,0.017585,0.078157,0.181506,-0.001916,6.273761
0.020000,0.019189,1.854901,0.019221,0.081786,0.181465,-0.002017,6.272885
0.020000,0.020898,1.854883,0.020929,0.085414,0.181422,-0.002157,6.271969
0.020000,0.022678,1.854862,0.022710,0.089042,0.181377,-0.002275,6.271016
0.020000,0.024532,1.854838,0.024564,0.092668,0.181328,-0.002405,6.270023
0.020000,0.026457,1.854812,0.026490,0.096294,0.181278,-0.002538,6.268993
0.020000,0.028455,1.854783,0.028488,0.099918,0.181224,-0.002690,6.267924
0.020000,0.030526,1.854750,0.030559,0.103542,0.181168,-0.002815,6.266816
0.020000,0.032669,1.854714,0.032702,0.107164,0.181108,-0.002978,6.265671
0.020000,0.034884,1.854673,0.034918,0.110785,0.181046,-0.003125,6.264487
0.020000,0.037172,1.854629,0.037206,0.114404,0.180980,-0.003285,6.263265
0.020000,0.039532,1.854581,0.039566,0.118023,0.180911,-0.003444,6.262005
0.020000,0.041964,1.854528,0.041999,0.121639,0.180839,-0.003614,6.260708
0.020000,0.044469,1.854470,0.044504,0.125255,0.180763,-0.003789,6.259372
0.020000,0.047045,1.854407,0.047081,0.128868,0.180684,-0.003968,6.257998
0.020000,0.049694,1.854338,0.049731,0.132480,0.180601,-0.004149,6.256587
0.020000,0.052415,1.854264,0.052453,0.136091,0.180514,-0.004343,6.255139
0.020000,0.055208,1.854183,0.055247,0.139699,0.180423,-0.004532,6.253653
0.020000,0.058072,1.854096,0.058113,0.143306,0.180328,-0.004744,6.252129
0.020000,0.061009,1.854003,0.061051,0.146910,0.180229,-0.004938,6.250568
0.020000,0.064018,1.853902,0.064061,0.150513,0.180126,-0.005161,6.248971
0.020000,0.067098,1.853794,0.067144,0.154113,0.180019,-0.005380,6.247336
0.020000,0.070250,1.853679,0.070298,0.157711,0.179907,-0.005603,6.245664
0.020000,0.073474,1.853555,0.073524,0.161307,0.179790,-0.005833,6.243955
0.020000,0.076769,1.853423,0.076822,0.164901,0.179668,-0.006076,6.242210
0.020000,0.080136,1.853282,0.080192,0.168491,0.179542,-0.006320,6.240429
0.020000,0.083574,1.853131,0.083634,0.172080,0.179411,-0.006564,6.238611
0.020000,0.087084,1.852972,0.087147,0.175665,0.179274,-0.006831,6.236757
0.020000,0.090665,1.852802,0.090732,0.179248,0.179132,-0.007092,6.234866
0.020000,0.094317,1.852622,0.094388,0.182827,0.178985,-0.007362,6.232940
0.020000,0.098040,1.852431,0.098116,0.186404,0.178832,-0.007637,6.230979
0.020000,0.101834,1.852229,0.101916,0.189977,0.178674,-0.007928,6.228982
0.020000,0.105700,1.852015,0.105787,0.193548,0.178509,-0.008211,6.226949
0.020000,0.109635,1.851789,0.109729,0.197114,0.178339,-0.008516,6.224882
0.020000,0.113642,1.851551,0.113743,0.200678,0.178163,-0.008810,6.222779
0.020000,0.117719,1.851300,0.117828,0.204237,0.177980,-0.009126,6.220642
0.020000,0.121866,1.851036,0.121983,0.207793,0.177792,-0.009446,6.218470
0.020000,0.126084,1.850758,0.126210,0.211345,0.177596,-0.009762,6.216264
0.020000,0.130372,1.850466,0.130508,0.214893,0.177394,-0.010098,6.214024
0.020000,0.134730,1.850159,0.134877,0.218437,0.177186,-0.010426,6.211750
0.020000,0.139158,1.849837,0.139316,0.221976,0.176970,-0.010774,6.209443
0.020000,0.143655,1.849500,0.143827,0.225511,0.176748,-0.011126,6.207102
0.020000,0.148222,1.849146,0.148407,0.229041,0.176518,-0.011470,6.204728
0.020000,0.152859,1.848776,0.153059,0.232567,0.176282,-0.011837,6.202321
0.020000,0.157565,1.848389,0.157781,0.236088,0.176038,-0.012204,6.199882
0.020000,0.162340,1.847984,0.162573,0.239604,0.175786,-0.012572,6.197411
0.020000,0.167184,1.847561,0.167435,0.243114,0.175527,-0.012951,6.194907
0.020000,0.172096,1.847120,0.172367,0.246619,0.175260,-0.013332,6.192372
0.020000,0.177078,1.846660,0.177370,0.250119,0.174986,-0.013720,6.189806
0.020000,0.182127,1.846181,0.182442,0.253613,0.174704,-0.014114,6.187208
0.020000,0.187245,1.845681,0.187584,0.257101,0.174414,-0.014509,6.184580
0.020000,0.192430,1.845161,0.192796,0.260584,0.174115,-0.014914,6.181922
0.020000,0.197684,1.844620,0.198077,0.264060,0.173809,-0.015315,6.179233
0.020000,0.203005,1.844058,0.203427,0.267530,0.173494,-0.015731,6.176515
0.020000,0.208393,1.843473,0.208847,0.270993,0.173172,-0.016138,6.173768
0.020000,0.213848,1.842866,0.214336,0.274450,0.172840,-0.016563,6.170991
0.020000,0.219371,1.842236,0.219894,0.277900,0.172501,-0.016979,6.168186
0.020000,0.224959,1.841583,0.225521,0.281343,0.172153,-0.017399,6.165353
0.020000,0.230615,1.840905,0.231217,0.284779,0.171796,-0.017832,6.162493
0.020000,0.236336,1.840203,0.236981,0.288208,0.171431,-0.018255,6.159604
0.020000,0.242123,1.839476,0.242813,0.291629,0.171057,-0.018688,6.156689
0.020000,0.247975,1.838722,0.248714,0.295042,0.170675,-0.019117,6.153748
0.020000,0.253893,1.837943,0.254683,0.298448,0.170284,-0.019554,6.150780
0.020000,0.259876,1.837137,0.260720,0.301846,0.169884,-0.019983,6.147787
0.020000,0.265924,1.836304,0.266825,0.305235,0.169476,-0.020420,6.144769
0.020000,0.272036,1.835443,0.272997,0.308616,0.169059,-0.020856,6.141726
0.020000,0.278212,1.834554,0.279237,0.311989,0.168633,-0.021285,6.138658
0.020000,0.284452,1.833636,0.285544,0.315353,0.168199,-0.021722,6.135568
0.020000,0.290755,1.832689,0.291918,0.318708,0.167755,-0.022153,6.132454
0.020000,0.297122,1.831711,0.298359,0.322054,0.167304,-0.022583,6.129317
0.020000,0.303551,1.830704,0.304867,0.325391,0.166844,-0.023012,6.126158
0.020000,0.310043,1.829665,0.311441,0.328718,0.166375,-0.023438,6.122977
0.020000,0.316597,1.828596,0.318082,0.332036,0.165898,-0.023861,6.119776
0.020000,0.323213,1.827494,0.324789,0.335345,0.165412,-0.024282,6.116553
0.020000,0.329890,1.826360,0.331562,0.338643,0.164918,-0.024698,6.113311
0.020000,0.336628,1.825192,0.338401,0.341931,0.164416,-0.025111,6.110050
0.020000,0.343427,1.823992,0.345305,0.345209,0.163905,-0.025517,6.106769
0.020000,0.350286,1.822757,0.352274,0.348477,0.163387,-0.025921,6.103470
0.020000,0.357206,1.821488,0.359309,0.351734,0.162861,-0.026317,6.100154
0.020000,0.364185,1.820185,0.366409,0.354981,0.162327,-0.026708,6.096820
0.020000,0.371223,1.818845,0.373573,0.358217,0.161785,-0.027093,6.093470
0.020000,0.378319,1.817470,0.380802,0.361441,0.161235,-0.027471,6.090104
0.020000,0.385475,1.816059,0.388095,0.364655,0.160678,-0.027842,6.086723
0.020000,0.392688,1.814610,0.395452,0.367857,0.160114,-0.028205,6.083328
0.020000,0.399958,1.813125,0.402873,0.371048,0.159543,-0.028560,6.079918
0.020000,0.407286,1.811601,0.410357,0.374227,0.158965,-0.028906,6.076495
0.020000,0.414671,1.810039,0.417905,0.377395,0.158380,-0.029244,6.073060
0.020000,0.422112,1.808439,0.425516,0.380551,0.157789,-0.029572,6.069612
0.020000,0.429608,1.806800,0.433190,0.383695,0.157191,-0.029891,6.066153
0.020000,0.437161,1.805121,0.440927,0.386826,0.156587,-0.030200,6.062684
