dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000008,6.855000,0.000029,0.002943,0.147127,7.356326,0.000002
0.020000,0.000090,6.855000,0.000112,0.004117,0.058716,-4.420535,0.000018
0.020000,0.000227,6.855000,0.000249,0.006861,0.137227,3.925565,0.000046
0.020000,0.000419,6.855000,0.000441,0.009606,0.137225,-0.000083,0.000085
0.020000,0.000666,6.855000,0.000688,0.012350,0.137223,-0.000116,0.000135
0.020000,0.000968,6.855000,0.000990,0.015095,0.137220,-0.000150,0.000197
0.020000,0.001325,6.855000,0.001347,0.017839,0.137217,-0.000182,0.000269
0.020000,0.001737,6.855000,0.001758,0.020583,0.137212,-0.000216,0.000353
0.020000,0.002203,6.855000,0.002225,0.023327,0.137207,-0.000250,0.000448
0.020000,0.002725,6.855001,0.002746,0.026072,0.137202,-0.000282,0.000554
0.020000,0.003301,6.855001,0.003323,0.028815,0.137195,-0.000316,0.000671
0.020000,0.003932,6.855002,0.003954,0.031559,0.137188,-0.000349,0.000800
0.020000,0.004618,6.855002,0.004640,0.034303,0.137181,-0.000382,0.000939
0.020000,0.005359,6.855003,0.005381,0.037046,0.137172,-0.000415,0.001090
0.020000,0.006155,6.855004,0.006177,0.039790,0.137163,-0.000450,0.001252
0.020000,0.007006,6.855005,0.007027,0.042533,0.137154,-0.000482,0.001426
0.020000,0.007911,6.855006,0.007933,0.045275,0.137143,-0.000515,0.001610
0.020000,0.008871,6.855008,0.008893,0.048018,0.137132,-0.000549,0.001806
0.020000,0.009887,6.855010,0.009908,0.050761,0.137121,-0.000582,0.002013
0.020000,0.010957,6.855012,0.010978,0.053503,0.137108,-0.000615,0.002232
0.020000,0.012082,6.855015,0.012103,0.056245,0.137095,-0.000649,0.002461
0.020000,0.013261,6.855018,0.013283,0.058986,0.137082,-0.000682,0.002702
0.020000,0.014496,6.855021,0.014518,0.061728,0.137068,-0.000716,0.002955
0.020000,0.015785,6.855025,0.015807,0.064469,0.137053,-0.000749,0.003218
0.020000,0.017129,6.855030,0.017151,0.067209,0.137037,-0.000782,0.003493
0.020000,0.018528,6.855035,0.018550,0.069950,0.137021,-0.000816,0.003780
0.020000,0.019982,6.855041,0.020004,0.072690,0.137004,-0.000850,0.004078
0.020000,0.021491,6.855047,0.021513,0.075430,0.136986,-0.000882,0.004387
0.020000,0.023054,6.855054,0.023076,0.078169,0.136968,-0.000917,0.004708
0.020000,0.024672,6.855062,0.024694,0.080908,0.136949,-0.000950,0.005040
0.020000,0.026345,6.855071,0.026367,0.083646,0.136929,-0.000983,0.005384
0.020000,0.028073,6.855080,0.028095,0.086385,0.136909,-0.001018,0.005739
0.020000,0.029855,6.855091,0.029877,0.089122,0.136888,-0.001050,0.006106
0.020000,0.031692,6.855103,0.031714,0.091860,0.136866,-0.001085,0.006484
0.020000,0.033584,6.855115,0.033606,0.094597,0.136844,-0.001118,0.006874
0.020000,0.035531,6.855129,0.035553,0.097333,0.136820,-0.001152,0.007275
0.020000,0.037532,6.855144,0.037554,0.100069,0.136797,-0.001185,0.007689
0.020000,0.039588,6.855160,0.039610,0.102804,0.136772,-0.001220,0.008113
0.020000,0.041699,6.855178,0.041721,0.105539,0.136747,-0.001253,0.008550
0.020000,0.043864,6.855197,0.043887,0.108274,0.136722,-0.001287,0.008998
0.020000,0.046084,6.855217,0.046107,0.111008,0.136695,-0.001320,0.009458
0.020000,0.048359,6.855239,0.048382,0.113741,0.136668,-0.001355,0.009930
0.020000,0.050688,6.855263,0.050711,0.116474,0.136640,-0.001388,0.010413
0.020000,0.053072,6.855288,0.053095,0.119206,0.136612,-0.001422,0.010909
0.020000,0.055511,6.855316,0.055534,0.121938,0.136583,-0.001456,0.011416
0.020000,0.058004,6.855345,0.058027,0.124669,0.136553,-0.001489,0.011935
0.020000,0.060552,6.855376,0.060575,0.127399,0.136522,-0.001525,0.012467
0.020000,0.063154,6.855409,0.063178,0.130129,0.136491,-0.001557,0.013010
0.020000,0.065811,6.855444,0.065835,0.132858,0.136459,-0.001592,0.013565
0.020000,0.068523,6.855482,0.068547,0.135587,0.136427,-0.001625,0.014132
0.020000,0.071289,6.855522,0.071313,0.138315,0.136394,-0.001660,0.014712
0.020000,0.074109,6.855564,0.074134,0.141042,0.136360,-0.001693,0.015303
0.020000,0.076984,6.855609,0.077009,0.143768,0.136325,-0.001728,0.015907
0.020000,0.079914,6.855656,0.079939,0.146494,0.136290,-0.001761,0.016522
0.020000,0.082898,6.855707,0.082924,0.149219,0.136254,-0.001795,0.017151
0.020000,0.085936,6.855760,0.085963,0.151944,0.136218,-0.001830,0.017791
0.020000,0.089029,6.855816,0.089056,0.154667,0.136180,-0.001863,0.018444
0.020000,0.092176,6.855875,0.092204,0.157390,0.136142,-0.001897,0.019109
0.020000,0.095378,6.855937,0.095406,0.160112,0.136104,-0.001931,0.019786
0.020000,0.098634,6.856003,0.098663,0.162833,0.136064,-0.001966,0.020476
0.020000,0.101944,6.856072,0.101974,0.165554,0.136025,-0.001999,0.021179
0.020000,0.105309,6.856144,0.105339,0.168274,0.135984,-0.002033,0.021894
0.020000,0.108728,6.856220,0.108759,0.170992,0.135942,-0.002067,0.022621
0.020000,0.112201,6.856300,0.112233,0.173710,0.135900,-0.002101,0.023362
0.020000,0.115729,6.856384,0.115762,0.176428,0.135858,-0.002135,0.024115
0.020000,0.119311,6.856472,0.119345,0.179144,0.135814,-0.002169,0.024880
0.020000,0.122947,6.856564,0.122982,0.181859,0.135770,-0.002202,0.025659
0.020000,0.126637,6.856660,0.126673,0.184574,0.135726,-0.002236,0.026450
0.020000,0.130381,6.856760,0.130419,0.187287,0.135680,-0.002271,0.027255
0.020000,0.134180,6.856865,0.134219,0.190000,0.135634,-0.002304,0.028072
0.020000,0.138033,6.856975,0.138073,0.192712,0.135587,-0.002338,0.028902
0.020000,0.141939,6.857090,0.141982,0.195423,0.135540,-0.002372,0.029745
0.020000,0.145900,6.857209,0.145944,0.198132,0.135492,-0.002405,0.030602
0.020000,0.149915,6.857334,0.149961,0.200841,0.135443,-0.002438,0.031471
0.020000,0.153984,6.857464,0.154032,0.203549,0.135394,-0.002472,0.032354
0.020000,0.158107,6.857599,0.158157,0.206256,0.135344,-0.002505,0.033250
0.020000,0.162284,6.857740,0.162337,0.208962,0.135293,-0.002539,0.034160
0.020000,0.166515,6.857886,0.166570,0.211667,0.135241,-0.002571,0.035082
0.020000,0.170799,6.858039,0.170857,0.214371,0.135189,-0.002605,0.036019
0.020000,0.175138,6.858197,0.175199,0.217073,0.135136,-0.002638,0.036968
0.020000,0.179530,6.858362,0.179594,0.219775,0.135083,-0.002671,0.037932
0.020000,0.183976,6.858533,0.184044,0.222476,0.135029,-0.002704,0.038909
0.020000,0.188476,6.858710,0.188547,0.225175,0.134974,-0.002736,0.039899
0.020000,0.193030,6.858894,0.193105,0.227873,0.134919,-0.002769,0.040904
0.020000,0.197638,6.859085,0.197716,0.230571,0.134863,-0.002801,0.041922
0.020000,0.202299,6.859283,0.202381,0.233267,0.134806,-0.002834,0.042954
0.020000,0.207014,6.859488,0.207101,0.235962,0.134749,-0.002866,0.044000
0.020000,0.211782,6.859701,0.211874,0.238656,0.134691,-0.002898,0.045060
0.020000,0.216604,6.859921,0.216701,0.241348,0.134632,-0.002929,0.046134
0.020000,0.221479,6.860148,0.221582,0.244040,0.134573,-0.002961,0.047222
0.020000,0.226408,6.860384,0.226516,0.246730,0.134513,-0.002993,0.048325
0.020000,0.231391,6.860628,0.231505,0.249419,0.134453,-0.003024,0.049442
0.020000,0.236427,6.860880,0.236547,0.252107,0.134392,-0.003055,0.050573
0.020000,0.241516,6.861140,0.241643,0.254793,0.134330,-0.003086,0.051718
0.020000,0.246658,6.861410,0.246792,0.257479,0.134268,-0.003116,0.052878
0.020000,0.251854,6.861688,0.251995,0.260163,0.134205,-0.003147,0.054053
0.020000,0.257103,6.861975,0.257252,0.262846,0.134141,-0.003176,0.055242
0.020000,0.262405,6.862271,0.262563,0.265527,0.134077,-0.003206,0.056446
0.020000,0.267761,6.862577,0.267927,0.268207,0.134012,-0.003236,0.057665
0.020000,0.273169,6.862893,0.273345,0.270886,0.133947,-0.003265,0.058898
0.020000,0.278631,6.863218,0.278816,0.273564,0.133881,-0.003294,0.060147
0.020000,0.284146,6.863554,0.284341,0.276240,0.133815,-0.003323,0.061410
0.020000,0.289713,6.863900,0.289919,0.278915,0.133748,-0.003351,0.062689
0.020000,0.295334,6.864256,0.295551,0.281589,0.133680,-0.003378,0.063982
0.020000,0.301007,6.864623,0.301236,0.284261,0.133612,-0.003407,0.065291
0.020000,0.306733,6.865001,0.306975,0.286932,0.133543,-0.003433,0.066615
0.020000,0.312512,6.865391,0.312767,0.289601,0.133474,-0.003461,0.067955
0.020000,0.318344,6.865792,0.318612,0.292270,0.133404,-0.003486,0.069310
0.020000,0.324228,6.866204,0.324511,0.294936,0.133334,-0.003512,0.070681
0.020000,0.330165,6.866629,0.330463,0.297602,0.133263,-0.003538,0.072067
0.020000,0.336154,6.867065,0.336468,0.300265,0.133192,-0.003563,0.073469
0.020000,0.342196,6.867514,0.342527,0.302928,0.133120,-0.003587,0.074887
0.020000,0.348291,6.867976,0.348639,0.305589,0.133048,-0.003611,0.076320
0.020000,0.354437,6.868451,0.354804,0.308248,0.132975,-0.003635,0.077770
0.020000,0.360636,6.868938,0.361022,0.310906,0.132902,-0.003657,0.079235
0.020000,0.366887,6.869439,0.367293,0.313563,0.132829,-0.003680,0.080717
0.020000,0.373191,6.869954,0.373617,0.316218,0.132755,-0.003701,0.082215
0.020000,0.379546,6.870482,0.379995,0.318872,0.132680,-0.003723,0.083729
0.020000,0.385954,6.871025,0.386425,0.321524,0.132605,-0.003743,0.085259
0.020000,0.392413,6.871582,0.392909,0.324174,0.132530,-0.003763,0.086806
0.020000,0.398925,6.872154,0.399445,0.326823,0.132454,-0.003782,0.088370
0.020000,0.405488,6.872741,0.406035,0.329471,0.132378,-0.003801,0.089950
0.020000,0.412103,6.873343,0.412677,0.332117,0.132302,-0.003818,0.091547
0.020000,0.418770,6.873960,0.419372,0.334761,0.132225,-0.003836,0.093160
0.020000,0.425488,6.874593,0.426120,0.337404,0.132148,-0.003850,0.094791
0.020000,0.432258,6.875243,0.432921,0.340046,0.132071,-0.003867,0.096438
0.020000,0.439079,6.875908,0.439775,0.342686,0.131993,-0.003881,0.098103
0.020000,0.445952,6.876590,0.446681,0.345324,0.131916,-0.003894,0.099784
0.020000,0.452876,6.877290,0.453641,0.347961,0.131837,-0.003907,0.101483
0.020000,0.459851,6.878006,0.460652,0.350596,0.131759,-0.003919,0.103199
0.020000,0.466877,6.878740,0.467717,0.353230,0.131680,-0.003929,0.104933
0.020000,0.473955,6.879491,0.474834,0.355862,0.131602,-0.003939,0.106684
