dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000005,6.855000,0.000029,0.002938,0.146912,7.345599,6.283172
0.020000,0.000034,6.855000,0.000058,0.001450,-0.074437,-11.067424,0.000010
0.020000,0.000167,6.855000,0.000192,0.006658,0.260418,16.742740,0.000049
0.020000,0.000353,6.855000,0.000378,0.009321,0.133165,-6.362642,0.000103
0.020000,0.000593,6.855000,0.000618,0.011985,0.133173,0.000389,0.000173
0.020000,0.000886,6.855000,0.000911,0.014648,0.133183,0.000512,0.000258
0.020000,0.001232,6.855000,0.001257,0.017312,0.133196,0.000627,0.000358
0.020000,0.001632,6.855000,0.001656,0.019976,0.133210,0.000716,0.000474
0.020000,0.002085,6.855001,0.002109,0.022641,0.133228,0.000869,0.000606
0.020000,0.002591,6.855001,0.002615,0.025306,0.133247,0.000948,0.000753
0.020000,0.003150,6.855001,0.003175,0.027971,0.133268,0.001075,0.000915
0.020000,0.003763,6.855002,0.003787,0.030637,0.133292,0.001177,0.001093
0.020000,0.004429,6.855003,0.004454,0.033303,0.133318,0.001302,0.001286
0.020000,0.005148,6.855004,0.005173,0.035970,0.133346,0.001394,0.001494
0.020000,0.005921,6.855005,0.005946,0.038638,0.133376,0.001526,0.001717
0.020000,0.006747,6.855007,0.006772,0.041306,0.133409,0.001623,0.001956
0.020000,0.007627,6.855008,0.007651,0.043975,0.133443,0.001739,0.002210
0.020000,0.008560,6.855011,0.008584,0.046645,0.133480,0.001841,0.002479
0.020000,0.009546,6.855013,0.009571,0.049315,0.133520,0.001972,0.002763
0.020000,0.010586,6.855016,0.010610,0.051986,0.133560,0.002029,0.003062
0.020000,0.011679,6.855020,0.011703,0.054658,0.133604,0.002202,0.003376
0.020000,0.012825,6.855024,0.012850,0.057331,0.133650,0.002277,0.003705
0.020000,0.014026,6.855028,0.014050,0.060005,0.133697,0.002362,0.004049
0.020000,0.015279,6.855034,0.015304,0.062680,0.133747,0.002520,0.004408
0.020000,0.016586,6.855040,0.016611,0.065356,0.133799,0.002589,0.004782
0.020000,0.017947,6.855047,0.017972,0.068033,0.133854,0.002713,0.005170
0.020000,0.019361,6.855054,0.019386,0.070711,0.133909,0.002780,0.005573
0.020000,0.020829,6.855063,0.020854,0.073391,0.133968,0.002939,0.005990
0.020000,0.022350,6.855072,0.022375,0.076071,0.134028,0.003009,0.006422
0.020000,0.023925,6.855083,0.023950,0.078753,0.134090,0.003112,0.006869
0.020000,0.025554,6.855094,0.025579,0.081436,0.134155,0.003227,0.007330
0.020000,0.027236,6.855107,0.027261,0.084121,0.134221,0.003305,0.007805
0.020000,0.028972,6.855121,0.028997,0.086806,0.134289,0.003416,0.008294
0.020000,0.030762,6.855136,0.030787,0.089494,0.134360,0.003546,0.008798
0.020000,0.032606,6.855153,0.032631,0.092182,0.134432,0.003586,0.009315
0.020000,0.034503,6.855171,0.034528,0.094872,0.134507,0.003735,0.009847
0.020000,0.036454,6.855191,0.036480,0.097564,0.134582,0.003785,0.010392
0.020000,0.038459,6.855212,0.038485,0.100257,0.134661,0.003936,0.010951
0.020000,0.040518,6.855235,0.040544,0.102952,0.134741,0.003974,0.011524
0.020000,0.042631,6.855260,0.042657,0.105649,0.134822,0.004091,0.012111
0.020000,0.044798,6.855287,0.044824,0.108347,0.134906,0.004208,0.012711
0.020000,0.047019,6.855316,0.047045,0.111046,0.134992,0.004251,0.013325
0.020000,0.049293,6.855347,0.049320,0.113748,0.135079,0.004385,0.013952
0.020000,0.051622,6.855380,0.051649,0.116451,0.135168,0.004442,0.014592
0.020000,0.054005,6.855416,0.054032,0.119157,0.135259,0.004555,0.015245
0.020000,0.056442,6.855454,0.056469,0.121864,0.135352,0.004617,0.015911
0.020000,0.058933,6.855494,0.058960,0.124573,0.135446,0.004722,0.016590
0.020000,0.061478,6.855537,0.061506,0.127283,0.135542,0.004798,0.017282
0.020000,0.064078,6.855583,0.064106,0.129996,0.135640,0.004890,0.017987
0.020000,0.066732,6.855632,0.066760,0.132711,0.135739,0.004967,0.018704
0.020000,0.069440,6.855684,0.069469,0.135428,0.135840,0.005052,0.019434
0.020000,0.072202,6.855738,0.072232,0.138147,0.135942,0.005105,0.020176
0.020000,0.075019,6.855796,0.075049,0.140868,0.136047,0.005226,0.020931
0.020000,0.077890,6.855857,0.077921,0.143591,0.136152,0.005284,0.021697
0.020000,0.080816,6.855922,0.080847,0.146316,0.136259,0.005335,0.022476
