dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000005,1.855000,0.000029,0.002944,0.147182,7.359121,0.000014
0.020000,0.000048,1.855000,0.000082,0.002648,-0.014800,-8.099145,6.283172
0.020000,0.000211,1.855000,0.000246,0.008176,0.276432,14.561619,6.283126
0.020000,0.000440,1.855000,0.000475,0.011447,0.163516,-5.645792,6.283061
0.020000,0.000735,1.855000,0.000769,0.014717,0.163507,-0.000474,6.282978
0.020000,0.001094,1.855000,0.001129,0.017987,0.163494,-0.000623,6.282877
0.020000,0.001520,1.855000,0.001554,0.021256,0.163479,-0.000740,6.282758
0.020000,0.002010,1.854999,0.002045,0.024525,0.163462,-0.000877,6.282620
0.020000,0.002566,1.854999,0.002600,0.027794,0.163441,-0.001017,6.282464
0.020000,0.003187,1.854999,0.003222,0.031063,0.163418,-0.001178,6.282289
0.020000,0.003874,1.854998,0.003908,0.034330,0.163393,-0.001255,6.282096
0.020000,0.004626,1.854997,0.004660,0.037598,0.163364,-0.001437,6.281885
0.020000,0.005443,1.854996,0.005478,0.040864,0.163333,-0.001561,6.281656
0.020000,0.006326,1.854994,0.006360,0.044130,0.163299,-0.001680,6.281409
0.020000,0.007274,1.854993,0.007308,0.047396,0.163263,-0.001827,6.281143
0.020000,0.008287,1.854990,0.008321,0.050660,0.163224,-0.001950,6.280859
0.020000,0.009365,1.854988,0.009400,0.053924,0.163182,-0.002104,6.280558
0.020000,0.010509,1.854984,0.010543,0.057187,0.163137,-0.002221,6.280238
0.020000,0.011718,1.854981,0.011752,0.060448,0.163090,-0.002338,6.279901
0.020000,0.012992,1.854976,0.013027,0.063709,0.163041,-0.002486,6.279545
0.020000,0.014332,1.854971,0.014366,0.066969,0.162988,-0.002614,6.279172
0.020000,0.015736,1.854965,0.015771,0.070228,0.162933,-0.002754,6.278781
0.020000,0.017206,1.854959,0.017240,0.073485,0.162876,-0.002869,6.278373
0.020000,0.018741,1.854951,0.018775,0.076741,0.162816,-0.002983,6.277946
0.020000,0.020340,1.854942,0.020375,0.079996,0.162753,-0.003169,6.277503
0.020000,0.022005,1.854932,0.022040,0.083250,0.162688,-0.003225,6.277041
0.020000,0.023735,1.854921,0.023770,0.086503,0.162621,-0.003388,6.276563
0.020000,0.025530,1.854909,0.025565,0.089754,0.162550,-0.003512,6.276067
0.020000,0.027390,1.854895,0.027425,0.093003,0.162478,-0.003643,6.275554
0.020000,0.029315,1.854880,0.029350,0.096251,0.162403,-0.003747,6.275023
0.020000,0.031305,1.854863,0.031340,0.099498,0.162325,-0.003881,6.274476
0.020000,0.033360,1.854845,0.033395,0.102743,0.162245,-0.004002,6.273911
0.020000,0.035480,1.854824,0.035515,0.105986,0.162162,-0.004132,6.273330
0.020000,0.037664,1.854802,0.037699,0.109227,0.162078,-0.004236,6.272732
0.020000,0.039913,1.854778,0.039949,0.112467,0.161990,-0.004379,6.272117
0.020000,0.042227,1.854752,0.042263,0.115705,0.161901,-0.004465,6.271486
0.020000,0.044606,1.854723,0.044642,0.118941,0.161808,-0.004622,6.270838
0.020000,0.047049,1.854692,0.047085,0.122176,0.161714,-0.004690,6.270174
0.020000,0.049557,1.854659,0.049593,0.125408,0.161617,-0.004855,6.269494
0.020000,0.052130,1.854622,0.052166,0.128638,0.161519,-0.004929,6.268797
0.020000,0.054767,1.854584,0.054803,0.131867,0.161418,-0.005056,6.268085
0.020000,0.057468,1.854542,0.057505,0.135093,0.161314,-0.005196,6.267356
0.020000,0.060234,1.854497,0.060272,0.138317,0.161209,-0.005245,6.266612
0.020000,0.063065,1.854449,0.063102,0.141539,0.161101,-0.005411,6.265852
0.020000,0.065959,1.854398,0.065998,0.144759,0.160991,-0.005502,6.265076
0.020000,0.068918,1.854343,0.068957,0.147977,0.160879,-0.005592,6.264285
0.020000,0.071942,1.854285,0.071981,0.151192,0.160765,-0.005704,6.263479
0.020000,0.075029,1.854222,0.075069,0.154405,0.160648,-0.005819,6.262657
0.020000,0.078181,1.854156,0.078221,0.157616,0.160530,-0.005927,6.261821
0.020000,0.081397,1.854086,0.081438,0.160824,0.160410,-0.006010,6.260969
0.020000,0.084676,1.854012,0.084718,0.164029,0.160288,-0.006096,6.260103
0.020000,0.088020,1.853933,0.088063,0.167233,0.160163,-0.006251,6.259222
0.020000,0.091428,1.853850,0.091472,0.170433,0.160037,-0.006286,6.258327
0.020000,0.094899,1.853762,0.094944,0.173632,0.159909,-0.006413,6.257417
0.020000,0.098435,1.853670,0.098481,0.176827,0.159778,-0.006511,6.256493
0.020000,0.102034,1.853572,0.102081,0.180020,0.159647,-0.006575,6.255555
0.020000,0.105696,1.853469,0.105745,0.183210,0.159513,-0.006692,6.254604
0.020000,0.109423,1.853360,0.109473,0.186398,0.159378,-0.006774,6.253638
0.020000,0.113213,1.853247,0.113265,0.189583,0.159241,-0.006844,6.252659
0.020000,0.117066,1.853127,0.117120,0.192765,0.159101,-0.006981,6.251666
0.020000,0.120983,1.853001,0.121039,0.195944,0.158961,-0.006998,6.250661
0.020000,0.124963,1.852870,0.125022,0.199120,0.158819,-0.007114,6.249642
0.020000,0.129007,1.852732,0.129068,0.202294,0.158675,-0.007210,6.248610
0.020000,0.133114,1.852588,0.133177,0.205464,0.158530,-0.007243,6.247565
0.020000,0.137283,1.852437,0.137349,0.208632,0.158382,-0.007379,6.246508
0.020000,0.141516,1.852280,0.141585,0.211797,0.158234,-0.007411,6.245438
0.020000,0.145812,1.852115,0.145885,0.214958,0.158084,-0.007500,6.244356
0.020000,0.150171,1.851943,0.150247,0.218117,0.157933,-0.007557,6.243262
0.020000,0.154593,1.851764,0.154672,0.221273,0.157780,-0.007649,6.242156
0.020000,0.159078,1.851578,0.159161,0.224425,0.157626,-0.007712,6.241038
0.020000,0.163625,1.851383,0.163712,0.227575,0.157471,-0.007757,6.239909
0.020000,0.168235,1.851181,0.168327,0.230721,0.157313,-0.007864,6.238768
0.020000,0.172908,1.850971,0.173004,0.233864,0.157156,-0.007880,6.237616
0.020000,0.177643,1.850752,0.177744,0.237004,0.156996,-0.007964,6.236452
0.020000,0.182440,1.850525,0.182547,0.240141,0.156836,-0.008033,6.235278
0.020000,0.187300,1.850289,0.187412,0.243274,0.156675,-0.008059,6.234094
0.020000,0.192222,1.850044,0.192341,0.246404,0.156511,-0.008153,6.232899
0.020000,0.197206,1.849790,0.197331,0.249531,0.156348,-0.008185,6.231693
0.020000,0.202252,1.849527,0.202384,0.252655,0.156183,-0.008213,6.230477
0.020000,0.207361,1.849254,0.207500,0.255775,0.156017,-0.008319,6.229252
0.020000,0.212531,1.848972,0.212678,0.258892,0.155851,-0.008311,6.228016
0.020000,0.217763,1.848680,0.217918,0.262006,0.155683,-0.008392,6.226771
0.020000,0.223056,1.848378,0.223220,0.265116,0.155515,-0.008419,6.225517
0.020000,0.228412,1.848065,0.228585,0.268223,0.155345,-0.008470,6.224253
0.020000,0.233829,1.847742,0.234011,0.271327,0.155175,-0.008493,6.222981
0.020000,0.239307,1.847408,0.239500,0.274427,0.155004,-0.008565,6.221699
0.020000,0.244847,1.847064,0.245050,0.277524,0.154833,-0.008550,6.220409
0.020000,0.250448,1.846708,0.250662,0.280617,0.154660,-0.008636,6.219111
0.020000,0.256110,1.846341,0.256337,0.283706,0.154488,-0.008644,6.217804
0.020000,0.261833,1.845962,0.262072,0.286793,0.154315,-0.008649,6.216489
0.020000,0.267618,1.845572,0.267870,0.289876,0.154140,-0.008738,6.215167
0.020000,0.273463,1.845170,0.273729,0.292955,0.153966,-0.008700,6.213837
0.020000,0.279369,1.844756,0.279650,0.296031,0.153790,-0.008782,6.212499
0.020000,0.285336,1.844329,0.285632,0.299103,0.153615,-0.008741,6.211154
0.020000,0.291364,1.843890,0.291675,0.302172,0.153439,-0.008822,6.209802
0.020000,0.297452,1.843439,0.297780,0.305237,0.153263,-0.008814,6.208443
0.020000,0.303600,1.842974,0.303946,0.308299,0.153087,-0.008805,6.207078
0.020000,0.309809,1.842496,0.310173,0.311357,0.152909,-0.008883,6.205706
0.020000,0.316078,1.842005,0.316461,0.314412,0.152732,-0.008833,6.204328
0.020000,0.322407,1.841501,0.322810,0.317463,0.152554,-0.008895,6.202944
0.020000,0.328796,1.840982,0.329221,0.320510,0.152377,-0.008852,6.201554
0.020000,0.335245,1.840450,0.335692,0.323554,0.152199,-0.008905,6.200158
0.020000,0.341754,1.839904,0.342224,0.326595,0.152021,-0.008887,6.198757
0.020000,0.348323,1.839343,0.348816,0.329631,0.151843,-0.008903,6.197350
0.020000,0.354952,1.838768,0.355470,0.332665,0.151665,-0.008895,6.195939
0.020000,0.361639,1.838178,0.362183,0.335695,0.151487,-0.008903,6.194522
0.020000,0.368387,1.837574,0.368958,0.338721,0.151310,-0.008896,6.193102
0.020000,0.375194,1.836954,0.375793,0.341743,0.151132,-0.008898,6.191676
0.020000,0.382060,1.836319,0.382688,0.344762,0.150954,-0.008901,6.190246
0.020000,0.388985,1.835669,0.389644,0.347778,0.150776,-0.008866,6.188813
0.020000,0.395969,1.835002,0.396659,0.350790,0.150598,-0.008898,6.187375
0.020000,0.403012,1.834320,0.403735,0.353798,0.150421,-0.008850,6.185934
0.020000,0.410114,1.833622,0.410871,0.356803,0.150244,-0.008874,6.184489
0.020000,0.417274,1.832908,0.418067,0.359805,0.150067,-0.008827,6.183041
0.020000,0.424493,1.832177,0.425324,0.362802,0.149890,-0.008852,6.181590
0.020000,0.431771,1.831430,0.432639,0.365797,0.149714,-0.008805,6.180137
0.020000,0.439107,1.830666,0.440015,0.368787,0.149538,-0.008793,6.178680
0.020000,0.446501,1.829885,0.447451,0.371775,0.149363,-0.008786,6.177221
0.020000,0.453954,1.829087,0.454946,0.374758,0.149187,-0.008753,6.175760
0.020000,0.461465,1.828271,0.462501,0.377739,0.149012,-0.008754,6.174297
0.020000,0.469033,1.827438,0.470115,0.380715,0.148838,-0.008701,6.172832
0.020000,0.476660,1.826588,0.477789,0.383689,0.148665,-0.008687,6.171365
0.020000,0.484344,1.825719,0.485522,0.386659,0.148491,-0.008698,6.169897
