dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000009,6.145000,0.000029,0.002943,0.147127,7.356326,0.000002
0.020000,0.000103,6.145000,0.000124,0.004711,0.088411,-2.935791,0.000018
0.020000,0.000260,6.145000,0.000281,0.007851,0.157026,3.430761,0.000046
0.020000,0.000480,6.145000,0.000501,0.010992,0.157028,0.000083,0.000085
0.020000,0.000762,6.145000,0.000783,0.014132,0.157030,0.000117,0.000135
0.020000,0.001108,6.145000,0.001129,0.017273,0.157033,0.000149,0.000197
0.020000,0.001516,6.145000,0.001537,0.020414,0.157037,0.000183,0.000269
0.020000,0.001987,6.145000,0.002008,0.023555,0.157041,0.000216,0.000353
0.020000,0.002521,6.145001,0.002542,0.026696,0.157046,0.000249,0.000448
0.020000,0.003118,6.145001,0.003139,0.029837,0.157052,0.000283,0.000554
0.020000,0.003777,6.145001,0.003798,0.032978,0.157058,0.000315,0.000671
0.020000,0.004500,6.145002,0.004521,0.036119,0.157065,0.000349,0.000800
0.020000,0.005285,6.145002,0.005306,0.039260,0.157072,0.000382,0.000939
0.020000,0.006133,6.145003,0.006154,0.042402,0.157081,0.000416,0.001090
0.020000,0.007044,6.145004,0.007065,0.045544,0.157090,0.000448,0.001252
0.020000,0.008018,6.145006,0.008038,0.048686,0.157099,0.000482,0.001426
0.020000,0.009054,6.145007,0.009075,0.051828,0.157110,0.000515,0.001610
0.020000,0.010154,6.145009,0.010174,0.054970,0.157121,0.000549,0.001806
0.020000,0.011316,6.145011,0.011337,0.058113,0.157132,0.000582,0.002013
0.020000,0.012541,6.145014,0.012562,0.061256,0.157145,0.000616,0.002232
0.020000,0.013829,6.145017,0.013850,0.064399,0.157158,0.000649,0.002461
0.020000,0.015180,6.145020,0.015201,0.067543,0.157171,0.000682,0.002702
0.020000,0.016594,6.145024,0.016614,0.070686,0.157186,0.000715,0.002955
0.020000,0.018070,6.145029,0.018091,0.073830,0.157201,0.000749,0.003218
0.020000,0.019610,6.145034,0.019630,0.076975,0.157216,0.000783,0.003493
0.020000,0.021212,6.145040,0.021233,0.080119,0.157232,0.000816,0.003780
0.020000,0.022877,6.145047,0.022898,0.083264,0.157249,0.000849,0.004078
0.020000,0.024605,6.145054,0.024626,0.086410,0.157267,0.000884,0.004387
0.020000,0.026397,6.145062,0.026417,0.089555,0.157285,0.000916,0.004708
0.020000,0.028251,6.145071,0.028271,0.092701,0.157304,0.000950,0.005040
0.020000,0.030168,6.145081,0.030188,0.095848,0.157324,0.000984,0.005384
0.020000,0.032147,6.145092,0.032168,0.098995,0.157344,0.001016,0.005739
0.020000,0.034190,6.145104,0.034211,0.102142,0.157365,0.001052,0.006106
0.020000,0.036296,6.145117,0.036317,0.105290,0.157387,0.001084,0.006484
0.020000,0.038465,6.145132,0.038486,0.108438,0.157410,0.001119,0.006874
0.020000,0.040696,6.145148,0.040717,0.111587,0.157433,0.001151,0.007275
0.020000,0.042991,6.145165,0.043012,0.114736,0.157456,0.001186,0.007689
0.020000,0.045349,6.145184,0.045370,0.117885,0.157481,0.001219,0.008113
0.020000,0.047769,6.145204,0.047791,0.121036,0.157506,0.001253,0.008550
0.020000,0.050253,6.145225,0.050274,0.124186,0.157531,0.001287,0.008998
0.020000,0.052800,6.145249,0.052821,0.127337,0.157558,0.001322,0.009458
0.020000,0.055409,6.145274,0.055431,0.130489,0.157585,0.001353,0.009930
0.020000,0.058082,6.145301,0.058104,0.133641,0.157613,0.001389,0.010413
0.020000,0.060818,6.145331,0.060839,0.136794,0.157641,0.001422,0.010909
0.020000,0.063616,6.145362,0.063638,0.139947,0.157670,0.001456,0.011416
0.020000,0.066478,6.145395,0.066500,0.143102,0.157700,0.001491,0.011935
0.020000,0.069403,6.145431,0.069426,0.146256,0.157731,0.001523,0.012467
0.020000,0.072391,6.145469,0.072414,0.149411,0.157762,0.001558,0.013010
0.020000,0.075442,6.145510,0.075465,0.152567,0.157794,0.001592,0.013565
0.020000,0.078556,6.145553,0.078580,0.155724,0.157826,0.001626,0.014132
0.020000,0.081734,6.145599,0.081757,0.158881,0.157859,0.001659,0.014712
0.020000,0.084974,6.145647,0.084998,0.162039,0.157893,0.001694,0.015303
0.020000,0.088278,6.145699,0.088302,0.165197,0.157928,0.001727,0.015907
0.020000,0.091644,6.145753,0.091669,0.168357,0.157963,0.001761,0.016522
0.020000,0.095074,6.145811,0.095099,0.171517,0.157999,0.001796,0.017151
0.020000,0.098567,6.145872,0.098593,0.174677,0.158035,0.001828,0.017791
0.020000,0.102123,6.145937,0.102150,0.177839,0.158073,0.001864,0.018444
0.020000,0.105743,6.146004,0.105770,0.181001,0.158111,0.001897,0.019109
0.020000,0.109425,6.146076,0.109453,0.184164,0.158149,0.001931,0.019786
0.020000,0.113171,6.146152,0.113200,0.187328,0.158189,0.001965,0.020476
0.020000,0.116980,6.146231,0.117009,0.190492,0.158229,0.001999,0.021179
0.020000,0.120852,6.146314,0.120883,0.193658,0.158269,0.002033,0.021894
