dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000005,6.145000,0.000029,0.002938,0.146912,7.345599,6.283172
0.020000,0.000041,6.145000,0.000075,0.002275,-0.033169,-9.004032,0.000010
0.020000,0.000201,6.145000,0.000236,0.008033,0.287923,16.054577,0.000049
0.020000,0.000426,6.145000,0.000460,0.011246,0.160659,-6.363215,0.000103
0.020000,0.000716,6.145000,0.000750,0.014460,0.160651,-0.000404,0.000173
0.020000,0.001069,6.145000,0.001103,0.017672,0.160640,-0.000504,0.000258
0.020000,0.001487,6.145000,0.001521,0.020885,0.160628,-0.000615,0.000358
0.020000,0.001969,6.145000,0.002003,0.024097,0.160613,-0.000756,0.000474
0.020000,0.002515,6.145001,0.002549,0.027309,0.160597,-0.000819,0.000606
0.020000,0.003125,6.145001,0.003159,0.030521,0.160577,-0.000972,0.000753
0.020000,0.003800,6.145002,0.003834,0.033732,0.160556,-0.001066,0.000915
0.020000,0.004539,6.145002,0.004573,0.036942,0.160532,-0.001190,0.001093
0.020000,0.005342,6.145003,0.005376,0.040153,0.160506,-0.001285,0.001286
0.020000,0.006209,6.145005,0.006243,0.043362,0.160478,-0.001419,0.001494
0.020000,0.007140,6.145006,0.007175,0.046571,0.160448,-0.001504,0.001717
0.020000,0.008136,6.145008,0.008170,0.049779,0.160415,-0.001631,0.001956
0.020000,0.009196,6.145010,0.009230,0.052987,0.160381,-0.001733,0.002210
0.020000,0.010320,6.145013,0.010354,0.056194,0.160344,-0.001852,0.002479
0.020000,0.011508,6.145016,0.011542,0.059400,0.160305,-0.001935,0.002763
0.020000,0.012760,6.145020,0.012794,0.062605,0.160263,-0.002105,0.003062
0.020000,0.014076,6.145024,0.014110,0.065810,0.160220,-0.002136,0.003376
0.020000,0.015456,6.145029,0.015490,0.069013,0.160174,-0.002282,0.003705
0.020000,0.016900,6.145034,0.016935,0.072216,0.160126,-0.002416,0.004049
0.020000,0.018409,6.145041,0.018443,0.075417,0.160077,-0.002460,0.004408
0.020000,0.019981,6.145048,0.020015,0.078618,0.160025,-0.002610,0.004782
0.020000,0.021617,6.145056,0.021652,0.081817,0.159971,-0.002693,0.005170
0.020000,0.023318,6.145065,0.023352,0.085015,0.159914,-0.002842,0.005573
0.020000,0.025082,6.145075,0.025116,0.088212,0.159856,-0.002879,0.005990
0.020000,0.026910,6.145087,0.026944,0.091408,0.159796,-0.003021,0.006422
0.020000,0.028802,6.145099,0.028836,0.094603,0.159734,-0.003123,0.006869
0.020000,0.030758,6.145113,0.030792,0.097796,0.159669,-0.003209,0.007330
0.020000,0.032778,6.145128,0.032812,0.100988,0.159603,-0.003336,0.007805
0.020000,0.034861,6.145145,0.034896,0.104179,0.159534,-0.003423,0.008294
0.020000,0.037008,6.145164,0.037043,0.107368,0.159465,-0.003484,0.008798
0.020000,0.039219,6.145184,0.039254,0.110556,0.159392,-0.003652,0.009315
0.020000,0.041494,6.145205,0.041529,0.113743,0.159318,-0.003687,0.009847
0.020000,0.043833,6.145229,0.043868,0.116927,0.159241,-0.003838,0.010392
0.020000,0.046235,6.145255,0.046270,0.120111,0.159164,-0.003868,0.010951
0.020000,0.048700,6.145282,0.048736,0.123292,0.159083,-0.004029,0.011524
0.020000,0.051230,6.145312,0.051265,0.126472,0.159001,-0.004094,0.012111
0.020000,0.053823,6.145344,0.053858,0.129651,0.158918,-0.004157,0.012711
0.020000,0.056479,6.145379,0.056515,0.132827,0.158832,-0.004306,0.013325
0.020000,0.059199,6.145416,0.059235,0.136002,0.158745,-0.004344,0.013952
0.020000,0.061982,6.145456,0.062018,0.139175,0.158656,-0.004471,0.014592
0.020000,0.064828,6.145498,0.064865,0.142347,0.158565,-0.004529,0.015245
0.020000,0.067738,6.145544,0.067775,0.145516,0.158472,-0.004646,0.015911
0.020000,0.070712,6.145592,0.070749,0.148684,0.158378,-0.004709,0.016590
0.020000,0.073748,6.145643,0.073786,0.151849,0.158282,-0.004804,0.017282
0.020000,0.076848,6.145698,0.076886,0.155013,0.158184,-0.004877,0.017987
0.020000,0.080011,6.145756,0.080050,0.158175,0.158085,-0.004966,0.018704
0.020000,0.083237,6.145818,0.083277,0.161334,0.157984,-0.005042,0.019434
0.020000,0.086526,6.145883,0.086566,0.164492,0.157881,-0.005153,0.020176
0.020000,0.089879,6.145952,0.089919,0.167648,0.157778,-0.005181,0.020931
0.020000,0.093294,6.146025,0.093335,0.170801,0.157672,-0.005281,0.021697
0.020000,0.096772,6.146101,0.096814,0.173952,0.157564,-0.005387,0.022476
0.020000,0.100313,6.146182,0.100356,0.177101,0.157456,-0.005403,0.023266
0.020000,0.103917,6.146268,0.103961,0.180248,0.157346,-0.005514,0.024068
0.020000,0.107584,6.146357,0.107629,0.183393,0.157234,-0.005577,0.024882
0.020000,0.111313,6.146452,0.111360,0.186535,0.157121,-0.005658,0.025707
0.020000,0.115106,6.146551,0.115154,0.189676,0.157007,-0.005712,0.026544
0.020000,0.118960,6.146655,0.119010,0.192813,0.156891,-0.005801,0.027392
0.020000,0.122878,6.146764,0.122929,0.195949,0.156775,-0.005816,0.028251
0.020000,0.126858,6.146878,0.126910,0.199082,0.156655,-0.005953,0.029121
0.020000,0.130900,6.146998,0.130955,0.202213,0.156536,-0.005971,0.030001
0.020000,0.135005,6.147123,0.135062,0.205341,0.156415,-0.006035,0.030893
0.020000,0.139173,6.147253,0.139231,0.208467,0.156293,-0.006110,0.031795
