dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,6.500000,0.000029,0.002938,0.146912,7.345599,6.283172
0.020000,0.000037,6.500000,0.000118,0.005876,0.146912,0.000000,0.000010
0.020000,0.000184,6.500000,0.000264,0.008815,0.146912,-0.000000,0.000049
0.020000,0.000390,6.500000,0.000470,0.011753,0.146912,0.000000,0.000103
0.020000,0.000654,6.500000,0.000735,0.014691,0.146912,-0.000000,0.000173
0.020000,0.000977,6.500000,0.001058,0.017629,0.146912,-0.000000,0.000258
0.020000,0.001359,6.500000,0.001440,0.020568,0.146912,0.000000,0.000358
0.020000,0.001800,6.500000,0.001880,0.023506,0.146912,0.000000,0.000474
0.020000,0.002300,6.500001,0.002380,0.026444,0.146912,-0.000000,0.000606
0.020000,0.002858,6.500001,0.002938,0.029382,0.146912,0.000000,0.000753
0.020000,0.003475,6.500002,0.003555,0.032321,0.146912,-0.000000,0.000915
0.020000,0.004151,6.500002,0.004231,0.035259,0.146912,0.000000,0.001093
0.020000,0.004885,6.500003,0.004966,0.038197,0.146912,0.000000,0.001286
0.020000,0.005679,6.500004,0.005759,0.041135,0.146912,-0.000000,0.001494
0.020000,0.006531,6.500006,0.006611,0.044074,0.146912,0.000000,0.001717
0.020000,0.007442,6.500007,0.007522,0.047012,0.146912,0.000000,0.001956
0.020000,0.008411,6.500009,0.008492,0.049950,0.146912,-0.000000,0.002210
0.020000,0.009440,6.500012,0.009520,0.052888,0.146912,0.000000,0.002479
0.020000,0.010527,6.500015,0.010607,0.055827,0.146912,0.000000,0.002763
0.020000,0.011673,6.500018,0.011753,0.058765,0.146912,0.000000,0.003062
0.020000,0.012877,6.500022,0.012958,0.061703,0.146912,-0.000000,0.003376
0.020000,0.014141,6.500026,0.014221,0.064641,0.146912,0.000000,0.003705
0.020000,0.015463,6.500031,0.015543,0.067580,0.146912,0.000000,0.004049
0.020000,0.016844,6.500037,0.016924,0.070518,0.146912,-0.000000,0.004408
0.020000,0.018284,6.500044,0.018364,0.073456,0.146912,0.000000,0.004782
0.020000,0.019782,6.500051,0.019863,0.076394,0.146912,0.000000,0.005170
0.020000,0.021339,6.500060,0.021420,0.079332,0.146912,-0.000000,0.005573
0.020000,0.022955,6.500069,0.023036,0.082271,0.146912,0.000000,0.005990
0.020000,0.024630,6.500079,0.024711,0.085209,0.146912,-0.000000,0.006422
0.020000,0.026364,6.500091,0.026444,0.088147,0.146912,0.000000,0.006869
0.020000,0.028156,6.500104,0.028236,0.091085,0.146912,-0.000000,0.007330
0.020000,0.030007,6.500118,0.030088,0.094024,0.146912,0.000000,0.007805
0.020000,0.031917,6.500133,0.031997,0.096962,0.146912,-0.000000,0.008294
0.020000,0.033885,6.500150,0.033966,0.099900,0.146912,0.000000,0.008798
0.020000,0.035913,6.500168,0.035993,0.102838,0.146912,-0.000000,0.009315
0.020000,0.037999,6.500188,0.038080,0.105777,0.146912,0.000000,0.009847
0.020000,0.040143,6.500210,0.040225,0.108715,0.146912,-0.000000,0.010392
0.020000,0.042347,6.500233,0.042428,0.111653,0.146912,0.000000,0.010951
0.020000,0.044609,6.500259,0.044691,0.114591,0.146912,-0.000000,0.011524
0.020000,0.046930,6.500286,0.047012,0.117530,0.146912,0.000000,0.012111
0.020000,0.049310,6.500316,0.049392,0.120468,0.146912,-0.000000,0.012711
0.020000,0.051749,6.500348,0.051831,0.123406,0.146912,0.000000,0.013325
0.020000,0.054246,6.500382,0.054328,0.126344,0.146912,0.000000,0.013952
0.020000,0.056802,6.500418,0.056884,0.129283,0.146912,-0.000000,0.014592
0.020000,0.059417,6.500457,0.059499,0.132221,0.146912,0.000000,0.015245
0.020000,0.062090,6.500499,0.062173,0.135159,0.146912,0.000000,0.015911
0.020000,0.064822,6.500543,0.064906,0.138097,0.146912,-0.000000,0.016590
0.020000,0.067613,6.500590,0.067697,0.141036,0.146912,0.000000,0.017282
0.020000,0.070463,6.500641,0.070547,0.143974,0.146912,0.000000,0.017987
0.020000,0.073371,6.500694,0.073456,0.146912,0.146912,0.000000,0.018704
0.020000,0.076338,6.500751,0.076424,0.149850,0.146912,0.000000,0.019434
0.020000,0.079364,6.500811,0.079450,0.152788,0.146912,-0.000000,0.020176
0.020000,0.082449,6.500874,0.082535,0.155727,0.146912,0.000000,0.020931
0.020000,0.085592,6.500941,0.085679,0.158665,0.146912,0.000000,0.021697
0.020000,0.088794,6.501012,0.088882,0.161603,0.146912,0.000000,0.022476
0.020000,0.092054,6.501086,0.092143,0.164541,0.146912,-0.000000,0.023266
0.020000,0.095374,6.501165,0.095463,0.167480,0.146912,0.000000,0.024068
0.020000,0.098752,6.501248,0.098842,0.170418,0.146912,0.000000,0.024882
0.020000,0.102188,6.501335,0.102280,0.173356,0.146912,0.000000,0.025707
0.020000,0.105684,6.501426,0.105777,0.176294,0.146912,-0.000000,0.026544
0.020000,0.109238,6.501522,0.109332,0.179233,0.146912,0.000000,0.027392
0.020000,0.112850,6.501622,0.112946,0.182171,0.146912,0.000000,0.028251
0.020000,0.116522,6.501728,0.116619,0.185109,0.146912,0.000000,0.029121
0.020000,0.120251,6.501838,0.120350,0.188047,0.146912,0.000000,0.030001
0.020000,0.124040,6.501953,0.124141,0.190986,0.146912,-0.000000,0.030893
0.020000,0.127887,6.502074,0.127990,0.193924,0.146912,0.000000,0.031795
0.020000,0.131793,6.502200,0.131898,0.196862,0.146912,-0.000000,0.032708
0.020000,0.135758,6.502331,0.135864,0.199800,0.146912,0.000000,0.033630
0.020000,0.139781,6.502469,0.139890,0.202739,0.146912,-0.000000,0.034563
0.020000,0.143862,6.502612,0.143974,0.205677,0.146912,0.000000,0.035506
0.020000,0.148002,6.502761,0.148117,0.208615,0.146912,-0.000000,0.036459
0.020000,0.152201,6.502916,0.152318,0.211553,0.146912,0.000000,0.037422
0.020000,0.156459,6.503077,0.156579,0.214491,0.146912,-0.000000,0.038394
0.020000,0.160775,6.503245,0.160898,0.217430,0.146912,0.000000,0.039375
0.020000,0.165149,6.503420,0.165276,0.220368,0.146912,-0.000000,0.040366
0.020000,0.169582,6.503601,0.169713,0.223306,0.146912,0.000000,0.041366
0.020000,0.174074,6.503789,0.174208,0.226244,0.146912,-0.000000,0.042375
0.020000,0.178624,6.503985,0.178763,0.229183,0.146912,0.000000,0.043393
0.020000,0.183232,6.504187,0.183376,0.232121,0.146912,-0.000000,0.044419
0.020000,0.187899,6.504397,0.188047,0.235059,0.146912,0.000000,0.045454
0.020000,0.192625,6.504614,0.192778,0.237997,0.146912,-0.000000,0.046498
0.020000,0.197409,6.504839,0.197567,0.240936,0.146912,0.000000,0.047549
0.020000,0.202252,6.505072,0.202415,0.243874,0.146912,0.000000,0.048609
