dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000005,1.145000,0.000029,0.002944,0.147182,7.359121,0.000014
0.020000,0.000038,1.145000,0.000063,0.001667,-0.063835,-10.550878,6.283172
0.020000,0.000169,1.145000,0.000194,0.006542,0.243751,15.379306,6.283126
0.020000,0.000352,1.145000,0.000377,0.009159,0.130849,-5.645106,6.283061
0.020000,0.000588,1.145000,0.000612,0.011776,0.130858,0.000477,6.282978
0.020000,0.000876,1.145000,0.000900,0.014394,0.130870,0.000603,6.282877
0.020000,0.001216,1.145000,0.001240,0.017011,0.130885,0.000753,6.282758
0.020000,0.001609,1.145000,0.001633,0.019629,0.130903,0.000887,6.282620
0.020000,0.002054,1.144999,0.002078,0.022248,0.130924,0.001019,6.282464
0.020000,0.002551,1.144999,0.002575,0.024867,0.130946,0.001133,6.282289
0.020000,0.003101,1.144998,0.003125,0.027486,0.130973,0.001314,6.282096
0.020000,0.003703,1.144998,0.003727,0.030106,0.131001,0.001410,6.281885
0.020000,0.004357,1.144997,0.004382,0.032727,0.131032,0.001552,6.281656
0.020000,0.005064,1.144995,0.005089,0.035348,0.131066,0.001698,6.281409
0.020000,0.005824,1.144994,0.005848,0.037970,0.131102,0.001821,6.281143
0.020000,0.006635,1.144992,0.006660,0.040593,0.131141,0.001961,6.280859
0.020000,0.007500,1.144990,0.007524,0.043217,0.131183,0.002077,6.280558
0.020000,0.008417,1.144988,0.008441,0.045841,0.131227,0.002221,6.280238
0.020000,0.009386,1.144985,0.009410,0.048467,0.131275,0.002364,6.279901
0.020000,0.010408,1.144981,0.010432,0.051093,0.131324,0.002482,6.279545
0.020000,0.011482,1.144977,0.011507,0.053721,0.131377,0.002614,6.279172
0.020000,0.012609,1.144972,0.012634,0.056349,0.131431,0.002736,6.278781
0.020000,0.013789,1.144967,0.013813,0.058979,0.131489,0.002877,6.278373
0.020000,0.015021,1.144961,0.015045,0.061610,0.131549,0.003017,6.277946
0.020000,0.016306,1.144954,0.016330,0.064242,0.131611,0.003098,6.277503
0.020000,0.017643,1.144946,0.017668,0.066876,0.131677,0.003282,6.277041
0.020000,0.019033,1.144937,0.019058,0.069511,0.131744,0.003379,6.276563
0.020000,0.020476,1.144927,0.020501,0.072147,0.131814,0.003506,6.276067
0.020000,0.021972,1.144916,0.021997,0.074785,0.131887,0.003626,6.275554
0.020000,0.023520,1.144904,0.023545,0.077424,0.131962,0.003767,6.275023
0.020000,0.025122,1.144890,0.025146,0.080065,0.132040,0.003881,6.274476
0.020000,0.026776,1.144875,0.026801,0.082707,0.132120,0.004004,6.273911
0.020000,0.028483,1.144859,0.028508,0.085351,0.132202,0.004118,6.273330
0.020000,0.030243,1.144841,0.030268,0.087997,0.132287,0.004252,6.272732
0.020000,0.032055,1.144821,0.032080,0.090644,0.132374,0.004353,6.272117
0.020000,0.033921,1.144800,0.033946,0.093294,0.132464,0.004497,6.271486
0.020000,0.035840,1.144777,0.035865,0.095945,0.132556,0.004582,6.270838
0.020000,0.037812,1.144752,0.037837,0.098598,0.132651,0.004737,6.270174
0.020000,0.039837,1.144725,0.039862,0.101253,0.132747,0.004812,6.269494
0.020000,0.041915,1.144696,0.041940,0.103910,0.132846,0.004959,6.268797
0.020000,0.044046,1.144665,0.044072,0.106569,0.132947,0.005060,6.268085
0.020000,0.046230,1.144631,0.046256,0.109230,0.133050,0.005149,6.267356
0.020000,0.048468,1.144594,0.048494,0.111893,0.133157,0.005309,6.266612
0.020000,0.050758,1.144556,0.050785,0.114558,0.133264,0.005372,6.265852
0.020000,0.053103,1.144514,0.053130,0.117226,0.133374,0.005493,6.265076
0.020000,0.055500,1.144470,0.055528,0.119895,0.133486,0.005613,6.264285
0.020000,0.057951,1.144422,0.057979,0.122567,0.133600,0.005714,6.263479
0.020000,0.060455,1.144372,0.060484,0.125242,0.133717,0.005808,6.262657
0.020000,0.063013,1.144318,0.063042,0.127918,0.133835,0.005907,6.261821
0.020000,0.065624,1.144262,0.065654,0.130597,0.133955,0.006022,6.260969
0.020000,0.068289,1.144201,0.068320,0.133279,0.134078,0.006133,6.260103
0.020000,0.071008,1.144137,0.071039,0.135963,0.134202,0.006186,6.259222
0.020000,0.073780,1.144070,0.073812,0.138650,0.134328,0.006332,6.258327
0.020000,0.076606,1.143998,0.076639,0.141339,0.134456,0.006402,6.257417
0.020000,0.079485,1.143922,0.079520,0.144030,0.134586,0.006492,6.256493
0.020000,0.082419,1.143843,0.082454,0.146725,0.134718,0.006607,6.255555
0.020000,0.085406,1.143759,0.085442,0.149422,0.134852,0.006676,6.254604
0.020000,0.088447,1.143670,0.088485,0.152122,0.134987,0.006771,6.253638
0.020000,0.091542,1.143577,0.091581,0.154824,0.135125,0.006872,6.252659
0.020000,0.094691,1.143480,0.094732,0.157529,0.135263,0.006915,6.251666
0.020000,0.097895,1.143377,0.097937,0.160237,0.135404,0.007055,6.250661
0.020000,0.101152,1.143269,0.101196,0.162948,0.135546,0.007110,6.249642
0.020000,0.104463,1.143157,0.104509,0.165662,0.135690,0.007178,6.248610
0.020000,0.107829,1.143038,0.107876,0.168379,0.135836,0.007294,6.247565
0.020000,0.111248,1.142915,0.111298,0.171098,0.135982,0.007323,6.246508
0.020000,0.114722,1.142785,0.114775,0.173821,0.136131,0.007434,6.245438
0.020000,0.118251,1.142650,0.118306,0.176547,0.136281,0.007496,6.244356
0.020000,0.121833,1.142509,0.121891,0.179275,0.136432,0.007579,6.243262
0.020000,0.125471,1.142362,0.125531,0.182007,0.136585,0.007631,6.242156
0.020000,0.129162,1.142208,0.129226,0.184742,0.136739,0.007704,6.241038
0.020000,0.132908,1.142048,0.132976,0.187480,0.136895,0.007788,6.239909
0.020000,0.136709,1.141881,0.136780,0.190221,0.137051,0.007817,6.238768
0.020000,0.140564,1.141708,0.140640,0.192965,0.137209,0.007919,6.237616
0.020000,0.144475,1.141527,0.144554,0.195712,0.137369,0.007960,6.236452
0.020000,0.148439,1.141339,0.148523,0.198463,0.137529,0.008011,6.235278
0.020000,0.152459,1.141144,0.152547,0.201217,0.137691,0.008093,6.234094
0.020000,0.156533,1.140942,0.156627,0.203974,0.137853,0.008116,6.232899
0.020000,0.160663,1.140731,0.160762,0.206734,0.138017,0.008188,6.231693
0.020000,0.164847,1.140513,0.164952,0.209498,0.138182,0.008258,6.230477
0.020000,0.169086,1.140287,0.169197,0.212265,0.138347,0.008261,6.229252
0.020000,0.173381,1.140052,0.173498,0.215035,0.138514,0.008354,6.228016
0.020000,0.177730,1.139809,0.177854,0.217809,0.138682,0.008370,6.226771
0.020000,0.182135,1.139558,0.182265,0.220586,0.138850,0.008427,6.225517
0.020000,0.186594,1.139298,0.186733,0.223366,0.139019,0.008462,6.224253
0.020000,0.191109,1.139028,0.191256,0.226150,0.139190,0.008515,6.222981
0.020000,0.195679,1.138750,0.195834,0.228937,0.139360,0.008524,6.221699
0.020000,0.200305,1.138462,0.200469,0.231728,0.139532,0.008603,6.220409
0.020000,0.204986,1.138165,0.205159,0.234522,0.139704,0.008593,6.219111
0.020000,0.209723,1.137858,0.209906,0.237319,0.139877,0.008645,6.217804
0.020000,0.214514,1.137541,0.214708,0.240120,0.140051,0.008696,6.216489
0.020000,0.219362,1.137214,0.219567,0.242925,0.140224,0.008673,6.215167
0.020000,0.224265,1.136877,0.224481,0.245733,0.140399,0.008753,6.213837
0.020000,0.229224,1.136529,0.229452,0.248544,0.140574,0.008729,6.212499
0.020000,0.234238,1.136170,0.234479,0.251359,0.140750,0.008805,6.211154
0.020000,0.239308,1.135801,0.239563,0.254178,0.140926,0.008774,6.209802
