dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.500000,0.000029,0.002944,0.147182,7.359121,0.000014
0.020000,0.000043,1.500000,0.000118,0.005887,0.147182,0.000000,6.283172
0.020000,0.000190,1.500000,0.000265,0.008831,0.147182,0.000000,6.283126
0.020000,0.000396,1.500000,0.000471,0.011775,0.147182,-0.000000,6.283061
0.020000,0.000661,1.500000,0.000736,0.014718,0.147182,0.000000,6.282978
0.020000,0.000985,1.500000,0.001060,0.017662,0.147182,-0.000000,6.282877
0.020000,0.001368,1.500000,0.001442,0.020606,0.147182,0.000000,6.282758
0.020000,0.001809,1.499999,0.001884,0.023549,0.147182,0.000000,6.282620
0.020000,0.002310,1.499999,0.002384,0.026493,0.147182,0.000000,6.282464
0.020000,0.002869,1.499999,0.002944,0.029436,0.147182,0.000000,6.282289
0.020000,0.003487,1.499998,0.003562,0.032380,0.147182,-0.000000,6.282096
0.020000,0.004164,1.499997,0.004239,0.035324,0.147182,0.000000,6.281885
0.020000,0.004900,1.499996,0.004975,0.038267,0.147182,0.000000,6.281656
0.020000,0.005695,1.499995,0.005770,0.041211,0.147182,0.000000,6.281409
0.020000,0.006549,1.499993,0.006623,0.044155,0.147182,0.000000,6.281143
0.020000,0.007461,1.499991,0.007536,0.047098,0.147182,-0.000000,6.280859
0.020000,0.008433,1.499989,0.008507,0.050042,0.147182,0.000000,6.280558
0.020000,0.009463,1.499986,0.009537,0.052986,0.147182,-0.000000,6.280238
0.020000,0.010552,1.499983,0.010627,0.055929,0.147182,0.000000,6.279901
0.020000,0.011700,1.499979,0.011775,0.058873,0.147182,-0.000000,6.279545
0.020000,0.012907,1.499974,0.012981,0.061817,0.147182,-0.000000,6.279172
0.020000,0.014173,1.499969,0.014247,0.064760,0.147182,0.000000,6.278781
0.020000,0.015497,1.499963,0.015572,0.067704,0.147182,-0.000000,6.278373
0.020000,0.016881,1.499956,0.016955,0.070648,0.147182,0.000000,6.277946
0.020000,0.018323,1.499948,0.018398,0.073591,0.147182,0.000000,6.277503
0.020000,0.019824,1.499939,0.019899,0.076535,0.147182,0.000000,6.277041
0.020000,0.021384,1.499929,0.021459,0.079479,0.147182,0.000000,6.276563
0.020000,0.023003,1.499918,0.023078,0.082422,0.147182,-0.000000,6.276067
0.020000,0.024681,1.499905,0.024756,0.085366,0.147182,0.000000,6.275554
0.020000,0.026418,1.499892,0.026493,0.088309,0.147182,-0.000000,6.275023
0.020000,0.028214,1.499877,0.028288,0.091253,0.147182,0.000000,6.274476
0.020000,0.030068,1.499860,0.030143,0.094197,0.147182,-0.000000,6.273911
0.020000,0.031981,1.499842,0.032056,0.097140,0.147182,0.000000,6.273330
0.020000,0.033953,1.499822,0.034029,0.100084,0.147182,-0.000000,6.272732
0.020000,0.035984,1.499800,0.036060,0.103028,0.147182,0.000000,6.272117
0.020000,0.038074,1.499776,0.038150,0.105971,0.147182,0.000000,6.271486
0.020000,0.040223,1.499750,0.040299,0.108915,0.147182,0.000000,6.270838
0.020000,0.042430,1.499722,0.042506,0.111859,0.147182,0.000000,6.270174
0.020000,0.044697,1.499692,0.044773,0.114802,0.147182,-0.000000,6.269494
0.020000,0.047022,1.499659,0.047098,0.117746,0.147182,0.000000,6.268797
0.020000,0.049406,1.499624,0.049483,0.120690,0.147182,-0.000000,6.268085
0.020000,0.051849,1.499586,0.051926,0.123633,0.147182,0.000000,6.267356
0.020000,0.054351,1.499546,0.054428,0.126577,0.147182,0.000000,6.266612
0.020000,0.056912,1.499502,0.056989,0.129521,0.147182,-0.000000,6.265852
0.020000,0.059531,1.499456,0.059609,0.132464,0.147182,0.000000,6.265076
0.020000,0.062209,1.499406,0.062288,0.135408,0.147182,-0.000000,6.264285
0.020000,0.064946,1.499353,0.065025,0.138351,0.147182,0.000000,6.263479
0.020000,0.067742,1.499297,0.067822,0.141295,0.147182,0.000000,6.262657
0.020000,0.070597,1.499237,0.070677,0.144239,0.147182,0.000000,6.261821
0.020000,0.073510,1.499174,0.073591,0.147182,0.147182,-0.000000,6.260969
0.020000,0.076483,1.499107,0.076564,0.150126,0.147182,0.000000,6.260103
0.020000,0.079514,1.499035,0.079596,0.153070,0.147182,-0.000000,6.259222
0.020000,0.082604,1.498960,0.082687,0.156013,0.147182,0.000000,6.258327
0.020000,0.085753,1.498880,0.085837,0.158957,0.147182,0.000000,6.257417
0.020000,0.088960,1.498796,0.089045,0.161901,0.147182,-0.000000,6.256493
0.020000,0.092226,1.498707,0.092313,0.164844,0.147182,0.000000,6.255555
0.020000,0.095551,1.498614,0.095639,0.167788,0.147182,0.000000,6.254604
0.020000,0.098935,1.498515,0.099024,0.170732,0.147182,0.000000,6.253638
0.020000,0.102378,1.498412,0.102468,0.173675,0.147182,-0.000000,6.252659
0.020000,0.105879,1.498303,0.105971,0.176619,0.147182,0.000000,6.251666
0.020000,0.109439,1.498189,0.109533,0.179563,0.147182,-0.000000,6.250661
0.020000,0.113057,1.498070,0.113154,0.182506,0.147182,0.000000,6.249642
0.020000,0.116735,1.497944,0.116833,0.185450,0.147182,-0.000000,6.248610
0.020000,0.120471,1.497813,0.120572,0.188393,0.147182,0.000000,6.247565
0.020000,0.124266,1.497676,0.124369,0.191337,0.147182,0.000000,6.246508
0.020000,0.128119,1.497532,0.128225,0.194281,0.147182,0.000000,6.245438
0.020000,0.132032,1.497383,0.132140,0.197224,0.147182,-0.000000,6.244356
0.020000,0.136002,1.497226,0.136114,0.200168,0.147182,0.000000,6.243262
