dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000002,1.145000,0.000029,0.002943,0.147170,7.358476,0.000005
0.020000,0.000061,1.145000,0.000089,0.002969,0.001287,-7.294140,6.283132
0.020000,0.000174,1.145000,0.000201,0.005623,0.132670,6.569173,6.283034
0.020000,0.000331,1.145000,0.000359,0.007872,0.112456,-1.010695,6.282897
0.020000,0.000534,1.145000,0.000561,0.010121,0.112462,0.000280,6.282721
0.020000,0.000781,1.145000,0.000809,0.012370,0.112469,0.000367,6.282506
0.020000,0.001073,1.144999,0.001101,0.014620,0.112478,0.000450,6.282252
0.020000,0.001411,1.144999,0.001438,0.016870,0.112489,0.000530,6.281959
0.020000,0.001793,1.144999,0.001821,0.019120,0.112501,0.000621,6.281626
0.020000,0.002221,1.144998,0.002248,0.021370,0.112515,0.000702,6.281255
0.020000,0.002693,1.144997,0.002721,0.023621,0.112531,0.000791,6.280844
0.020000,0.003210,1.144996,0.003238,0.025872,0.112549,0.000885,6.280395
0.020000,0.003773,1.144994,0.003800,0.028123,0.112568,0.000974,6.279907
0.020000,0.004380,1.144992,0.004408,0.030375,0.112589,0.001061,6.279379
0.020000,0.005033,1.144989,0.005060,0.032627,0.112613,0.001166,6.278813
0.020000,0.005730,1.144986,0.005758,0.034880,0.112638,0.001256,6.278208
0.020000,0.006473,1.144982,0.006501,0.037133,0.112665,0.001365,6.277564
0.020000,0.007261,1.144977,0.007288,0.039387,0.112694,0.001462,6.276881
0.020000,0.008094,1.144972,0.008121,0.041641,0.112726,0.001569,6.276159
0.020000,0.008972,1.144965,0.008999,0.043897,0.112759,0.001678,6.275398
0.020000,0.009895,1.144957,0.009922,0.046153,0.112795,0.001796,6.274599
0.020000,0.010863,1.144949,0.010890,0.048409,0.112833,0.001901,6.273761
0.020000,0.011876,1.144939,0.011904,0.050667,0.112874,0.002032,6.272885
0.020000,0.012934,1.144927,0.012962,0.052925,0.112917,0.002144,6.271969
0.020000,0.014038,1.144914,0.014066,0.055184,0.112962,0.002277,6.271016
0.020000,0.015187,1.144900,0.015215,0.057444,0.113011,0.002408,6.270023
0.020000,0.016381,1.144884,0.016409,0.059706,0.113061,0.002544,6.268993
0.020000,0.017620,1.144865,0.017648,0.061968,0.113115,0.002675,6.267924
0.020000,0.018905,1.144845,0.018933,0.064231,0.113172,0.002830,6.266816
0.020000,0.020234,1.144823,0.020263,0.066496,0.113231,0.002970,6.265671
0.020000,0.021609,1.144798,0.021638,0.068762,0.113293,0.003126,6.264487
0.020000,0.023030,1.144770,0.023059,0.071029,0.113359,0.003283,6.263265
0.020000,0.024495,1.144740,0.024525,0.073298,0.113428,0.003448,6.262005
0.020000,0.026006,1.144707,0.026036,0.075568,0.113500,0.003615,6.260708
0.020000,0.027563,1.144671,0.027593,0.077839,0.113576,0.003787,6.259372
0.020000,0.029164,1.144632,0.029195,0.080112,0.113655,0.003966,6.257998
0.020000,0.030812,1.144589,0.030843,0.082387,0.113738,0.004152,6.256587
0.020000,0.032504,1.144543,0.032536,0.084664,0.113825,0.004339,6.255139
0.020000,0.034242,1.144493,0.034275,0.086942,0.113916,0.004539,6.253653
0.020000,0.036026,1.144439,0.036059,0.089222,0.114011,0.004733,6.252129
0.020000,0.037855,1.144381,0.037889,0.091504,0.114110,0.004949,6.250568
0.020000,0.039730,1.144318,0.039765,0.093789,0.114213,0.005157,6.248971
