dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.500000,0.000029,0.002943,0.147170,7.358476,0.000005
0.020000,0.000080,1.500000,0.000118,0.005887,0.147170,0.000000,6.283132
0.020000,0.000227,1.500000,0.000265,0.008830,0.147170,0.000000,6.283034
0.020000,0.000433,1.500000,0.000471,0.011774,0.147170,-0.000000,6.282897
0.020000,0.000698,1.500000,0.000736,0.014717,0.147170,0.000000,6.282721
0.020000,0.001022,1.500000,0.001060,0.017660,0.147170,0.000000,6.282506
0.020000,0.001405,1.499999,0.001442,0.020604,0.147170,-0.000000,6.282252
0.020000,0.001846,1.499999,0.001884,0.023547,0.147170,0.000000,6.281959
0.020000,0.002347,1.499998,0.002384,0.026491,0.147170,0.000000,6.281626
0.020000,0.002906,1.499997,0.002943,0.029434,0.147170,-0.000000,6.281255
0.020000,0.003524,1.499996,0.003562,0.032377,0.147170,0.000000,6.280844
0.020000,0.004201,1.499994,0.004238,0.035321,0.147170,-0.000000,6.280395
0.020000,0.004937,1.499992,0.004974,0.038264,0.147170,-0.000000,6.279907
0.020000,0.005732,1.499989,0.005769,0.041207,0.147170,0.000000,6.279379
0.020000,0.006585,1.499986,0.006623,0.044151,0.147170,0.000000,6.278813
0.020000,0.007498,1.499981,0.007535,0.047094,0.147170,-0.000000,6.278208
0.020000,0.008469,1.499976,0.008506,0.050038,0.147170,0.000000,6.277564
0.020000,0.009499,1.499970,0.009537,0.052981,0.147170,-0.000000,6.276881
0.020000,0.010588,1.499963,0.010626,0.055924,0.147170,-0.000000,6.276159
0.020000,0.011736,1.499954,0.011774,0.058868,0.147170,0.000000,6.275398
0.020000,0.012943,1.499944,0.012980,0.061811,0.147170,0.000000,6.274599
0.020000,0.014208,1.499933,0.014246,0.064755,0.147170,0.000000,6.273761
0.020000,0.015533,1.499920,0.015571,0.067698,0.147170,-0.000000,6.272885
0.020000,0.016916,1.499905,0.016954,0.070641,0.147170,0.000000,6.271969
0.020000,0.018358,1.499888,0.018396,0.073585,0.147170,0.000000,6.271016
0.020000,0.019859,1.499869,0.019897,0.076528,0.147170,-0.000000,6.270023
0.020000,0.021419,1.499848,0.021457,0.079472,0.147170,0.000000,6.268993
0.020000,0.023038,1.499824,0.023076,0.082415,0.147170,0.000000,6.267924
0.020000,0.024715,1.499797,0.024754,0.085358,0.147170,0.000000,6.266816
0.020000,0.026452,1.499768,0.026491,0.088302,0.147170,0.000000,6.265671
