dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000960,1.223100,0.001129,0.045156,0.903111,18.062222,0.000085
0.050000,0.004281,1.223101,0.004450,0.066421,0.425315,-9.555916,0.000379
0.050000,0.009816,1.223104,0.009985,0.110696,0.885485,9.203387,0.000870
0.050000,0.017564,1.223114,0.017733,0.154960,0.885283,-0.004035,0.001562
0.050000,0.027524,1.223134,0.027693,0.199210,0.884997,-0.005716,0.002456
0.050000,0.039696,1.223170,0.039865,0.243441,0.884624,-0.007456,0.003558
0.050000,0.054079,1.223231,0.054248,0.287649,0.884159,-0.009312,0.004871
0.050000,0.070670,1.223324,0.070839,0.331828,0.883595,-0.011267,0.006404
0.050000,0.089468,1.223461,0.089638,0.375975,0.882927,-0.013374,0.008163
0.050000,0.110471,1.223654,0.110642,0.420082,0.882144,-0.015651,0.010156
0.050000,0.133677,1.223915,0.133849,0.464144,0.881236,-0.018158,0.012395
0.050000,0.159082,1.224262,0.159257,0.508153,0.880191,-0.020905,0.014891
0.050000,0.186684,1.224711,0.186862,0.552103,0.878993,-0.023959,0.017657
0.050000,0.216477,1.225282,0.216661,0.595984,0.877625,-0.027367,0.020708
0.050000,0.248459,1.225998,0.248651,0.639787,0.876064,-0.031217,0.024063
0.050000,0.282622,1.226883,0.282826,0.683502,0.874285,-0.035566,0.027740
0.050000,0.318962,1.227964,0.319181,0.727115,0.872259,-0.040522,0.031763
0.050000,0.357470,1.229272,0.357712,0.770612,0.869949,-0.046209,0.036158
0.050000,0.398139,1.230840,0.398411,0.813978,0.867310,-0.052769,0.040954
0.050000,0.440958,1.232706,0.441270,0.857192,0.864292,-0.060373,0.046185
0.050000,0.485916,1.234912,0.486282,0.900234,0.860829,-0.069249,0.051889
0.050000,0.532998,1.237503,0.533436,0.943076,0.856846,-0.079667,0.058112
0.050000,0.582190,1.240531,0.582720,0.985688,0.852247,-0.091983,0.064905
0.050000,0.633470,1.244054,0.634122,1.028034,0.846916,-0.106610,0.072328
0.050000,0.686818,1.248135,0.687626,1.070070,0.840710,-0.124125,0.080449
0.050000,0.742205,1.252846,0.743213,1.111742,0.833449,-0.145219,0.089351
0.050000,0.799599,1.258268,0.800862,1.152988,0.824908,-0.170821,0.099129
0.050000,0.857883,1.264373,0.859465,1.172050,0.381259,-8.872991,0.109695
0.050000,0.915948,1.271095,0.917918,1.169073,-0.059556,-8.816286,0.120928
0.050000,0.973770,1.278469,0.976208,1.165798,-0.065495,-0.118784,0.132895
0.050000,1.031317,1.286532,1.034317,1.162186,-0.072229,-0.134686,0.145670
0.050000,1.088555,1.295325,1.092227,1.158192,-0.079887,-0.153166,0.159341
0.050000,1.145445,1.304890,1.149915,1.153761,-0.088623,-0.174714,0.174005
0.050000,1.201940,1.315275,1.207357,1.148830,-0.098618,-0.199893,0.189773
0.050000,1.257988,1.326529,1.264523,1.143326,-0.110085,-0.229340,0.206774
0.050000,1.313526,1.338706,1.321381,1.137162,-0.123276,-0.263814,0.225157
0.050000,1.368485,1.351863,1.377893,1.130238,-0.138482,-0.304134,0.245090
0.050000,1.422782,1.366060,1.434015,1.122436,-0.156043,-0.351217,0.266772
0.050000,1.476318,1.381363,1.489696,1.113619,-0.176340,-0.405943,0.290428
0.050000,1.528984,1.397837,1.544877,1.103629,-0.199792,-0.469046,0.316322
0.050000,1.580646,1.415549,1.599491,1.092287,-0.226836,-0.540873,0.344757
0.050000,1.631154,1.434567,1.653461,1.079393,-0.257882,-0.620927,0.376080
0.050000,1.680331,1.454957,1.706698,1.064731,-0.293236,-0.707063,0.410687
0.050000,1.727976,1.476778,1.759102,1.048084,-0.332954,-0.794366,0.449022
0.050000,1.773862,1.500078,1.810564,1.029253,-0.376615,-0.873225,0.491575
0.050000,1.817736,1.524892,1.860970,1.008105,-0.422954,-0.926781,0.538863
0.050000,1.859328,1.551233,1.910202,0.984638,-0.469348,-0.927875,0.591406
0.050000,1.898359,1.579093,1.958156,0.959079,-0.511170,-0.836441,0.649673
0.050000,1.934561,1.608438,2.004757,0.932021,-0.541176,-0.600128,0.713998
0.050000,1.967698,1.639219,2.049984,0.904555,-0.549317,-0.162817,0.784473
0.050000,1.997596,1.671389,2.093903,0.878371,-0.523671,0.512916,0.860810
0.050000,2.024159,1.704930,2.136688,0.855707,-0.453273,1.407965,0.942221
0.050000,2.047373,1.739876,2.178641,0.839062,-0.332914,2.407191,1.027358
0.050000,2.067286,1.776323,2.220174,0.830649,-0.168265,3.292969,1.114380
0.050000,2.083972,1.814416,2.261762,0.831756,0.022154,3.808387,1.201153
0.050000,2.097501,1.854300,2.303877,0.842312,0.211113,3.779186,1.285563
0.050000,2.107923,1.896065,2.346922,0.860904,0.371838,3.214487,1.365811
0.050000,2.115276,1.939712,2.391185,0.885249,0.486913,2.301507,1.440608
0.050000,2.119613,1.985147,2.436827,0.912842,0.551858,1.298907,1.509227
0.050000,2.121015,2.032201,2.483901,0.941478,0.572722,0.417266,1.571434
0.050000,2.119597,2.080656,2.532377,0.969520,0.560840,-0.237635,1.627363
0.050000,2.115511,2.130284,2.582173,0.995928,0.528151,-0.653786,1.677378
0.050000,2.108929,2.180866,2.633181,1.020155,0.484542,-0.872182,1.721968
0.050000,2.100039,2.232202,2.685281,1.042007,0.437047,-0.949897,1.761664
0.050000,2.089031,2.284123,2.738357,1.061513,0.390103,-0.938865,1.796992
0.050000,2.076090,2.336489,2.792298,1.078822,0.346190,-0.878276,1.828443
0.050000,2.061395,2.389186,2.847005,1.094145,0.306467,-0.794451,1.856461
0.050000,2.045112,2.442124,2.902391,1.107710,0.271290,-0.703547,1.881441
0.050000,2.027393,2.495233,2.958378,1.119738,0.240556,-0.614676,1.903727
0.050000,2.008379,2.548460,3.014900,1.130434,0.213934,-0.532440,1.923617
0.050000,1.988200,2.601768,3.071899,1.139984,0.190997,-0.458730,1.941367
0.050000,1.966971,2.655128,3.129326,1.148549,0.171303,-0.393896,1.957198
0.050000,1.944799,2.708521,3.187140,1.156271,0.154427,-0.337512,1.971299
0.050000,1.921780,2.761935,3.245303,1.163270,0.139989,-0.288754,1.983832
0.050000,1.898002,2.815366,3.303786,1.169653,0.127655,-0.246686,1.994935
0.050000,1.873546,2.868812,3.362561,1.175510,0.117136,-0.210374,2.004726
0.050000,1.848486,2.922276,3.421607,1.180919,0.108189,-0.178947,2.013304
0.050000,1.822890,2.975765,3.480905,1.185950,0.100608,-0.151616,2.020755
0.050000,1.796821,3.029287,3.540438,1.190661,0.094223,-0.127709,2.027151
0.050000,1.770339,3.082853,3.600193,1.195105,0.088892,-0.106623,2.032551
0.050000,1.743499,3.136478,3.660160,1.199330,0.084499,-0.087848,2.037003
0.050000,1.716354,3.190176,3.720329,1.203378,0.080952,-0.070942,2.040549
0.050000,1.688954,3.243963,3.780693,1.207287,0.078176,-0.055518,2.043219
0.050000,1.661346,3.297858,3.841248,1.211092,0.076115,-0.041234,2.045036
0.050000,1.633577,3.351880,3.901989,1.214829,0.074725,-0.027787,2.046016
0.050000,1.605694,3.406051,3.962915,1.218528,0.073980,-0.014899,2.046166
0.050000,1.577740,3.460394,4.024026,1.222221,0.073865,-0.002309,2.045489
0.050000,1.549760,3.514933,4.085323,1.225940,0.074376,0.010235,2.043979
0.050000,1.521801,3.569694,4.146809,1.229716,0.075526,0.022983,2.041622
0.050000,1.493906,3.624705,4.208488,1.233583,0.077335,0.036190,2.038398
0.050000,1.466124,3.679996,4.270367,1.237575,0.079842,0.050128,2.034280
0.050000,1.438503,3.735601,4.332454,1.241730,0.083096,0.065090,2.029231
0.050000,1.411095,3.791552,4.394758,1.246088,0.087166,0.081402,2.023204
0.050000,1.383953,3.847890,4.457293,1.250695,0.092138,0.099431,2.016145
0.050000,1.357135,3.904654,4.520073,1.255601,0.098118,0.119597,2.007986
0.050000,1.330704,3.961889,4.583116,1.260863,0.105237,0.142386,1.998648
0.050000,1.304728,4.019643,4.646443,1.266545,0.113655,0.168358,1.988036
0.050000,1.279283,4.077971,4.710079,1.272724,0.123563,0.198164,1.976039
0.050000,1.254452,4.136930,4.774054,1.279483,0.135190,0.232541,1.962526
0.050000,1.230330,4.196583,4.838400,1.286923,0.148806,0.272329,1.947346
0.050000,1.207021,4.257001,4.903158,1.295160,0.164728,0.318441,1.930319
0.050000,1.184650,4.318260,4.968374,1.304326,0.183319,0.371820,1.911236
0.050000,1.163355,4.380444,5.034103,1.314575,0.204986,0.433329,1.889856
0.050000,1.143299,4.443642,5.100407,1.326083,0.230165,0.503581,1.865894
0.050000,1.124675,4.507952,5.167359,1.339048,0.259293,0.582556,1.839026
0.050000,1.107705,4.573474,5.235044,1.353685,0.292744,0.669016,1.808874
0.050000,1.092658,4.640312,5.303555,1.370221,0.330719,0.759510,1.775013
0.050000,1.079849,4.708564,5.372998,1.388874,0.373060,0.846815,1.736968
0.050000,1.069652,4.778314,5.443489,1.409821,0.418944,0.917685,1.694223
0.050000,1.062511,4.849614,5.515147,1.433143,0.466440,0.949925,1.646244
0.050000,1.058938,4.922464,5.588083,1.458739,0.511909,0.909365,1.592521
0.050000,1.059517,4.996772,5.662394,1.486206,0.549337,0.748564,1.532631
0.050000,1.064880,5.072317,5.738129,1.514700,0.569891,0.411080,1.466343
