dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000998,0.776900,0.001129,0.045156,0.903111,18.062222,0.000085
0.050000,0.004450,0.776901,0.004581,0.069045,0.477795,-8.506313,0.000379
0.050000,0.010204,0.776904,0.010335,0.115082,0.920738,8.858850,0.000870
0.050000,0.018261,0.776914,0.018392,0.161129,0.920939,0.004027,0.001562
0.050000,0.028620,0.776935,0.028751,0.207190,0.921225,0.005707,0.002456
0.050000,0.041284,0.776973,0.041415,0.253270,0.921598,0.007469,0.003558
0.050000,0.056252,0.777036,0.056383,0.299373,0.922063,0.009298,0.004871
0.050000,0.073527,0.777134,0.073659,0.345505,0.922626,0.011265,0.006404
0.050000,0.093110,0.777276,0.093242,0.391670,0.923295,0.013371,0.008163
0.050000,0.115003,0.777477,0.115136,0.437873,0.924078,0.015660,0.010156
0.050000,0.139207,0.777749,0.139342,0.484123,0.924985,0.018144,0.012395
0.050000,0.165726,0.778111,0.165863,0.530424,0.926030,0.020897,0.014891
0.050000,0.194562,0.778580,0.194702,0.576786,0.927227,0.023949,0.017657
0.050000,0.225717,0.779178,0.225863,0.623215,0.928596,0.027367,0.020708
0.050000,0.259194,0.779927,0.259349,0.669723,0.930156,0.031199,0.024063
0.050000,0.294998,0.780854,0.295165,0.716320,0.931933,0.035551,0.027740
0.050000,0.333132,0.781989,0.333316,0.763018,0.933959,0.040511,0.031763
0.050000,0.373601,0.783363,0.373808,0.809831,0.936268,0.046190,0.036158
0.050000,0.416408,0.785014,0.416647,0.856776,0.938905,0.052739,0.040954
0.050000,0.461558,0.786982,0.461840,0.903872,0.941922,0.060342,0.046185
0.050000,0.509058,0.789312,0.509397,0.951142,0.945383,0.069211,0.051889
0.050000,0.558913,0.792056,0.559328,0.998610,0.949364,0.079625,0.058112
0.050000,0.611130,0.795271,0.611643,1.046308,0.953960,0.091915,0.064905
0.050000,0.665715,0.799020,0.666357,1.094272,0.959287,0.106539,0.072328
0.050000,0.722676,0.803378,0.723484,1.142546,0.965488,0.124023,0.080449
0.050000,0.782021,0.808426,0.783043,1.191184,0.972743,0.145094,0.089351
0.050000,0.843758,0.814259,0.845056,1.240247,0.981275,0.170653,0.099129
0.050000,0.906730,0.820855,0.908373,1.266338,0.521817,-9.189167,0.109695
0.050000,0.969775,0.828153,0.971838,1.269314,0.059526,-9.245820,0.120928
0.050000,1.032893,0.836203,1.035468,1.272588,0.065460,0.118693,0.132895
0.050000,1.096086,0.845058,1.099277,1.276197,0.072188,0.134555,0.145670
0.050000,1.159353,0.854777,1.163287,1.280189,0.079839,0.153020,0.159341
0.050000,1.222695,0.865428,1.227518,1.284617,0.088566,0.174540,0.174005
0.050000,1.286109,0.877085,1.291995,1.289545,0.098550,0.199668,0.189773
0.050000,1.349594,0.889833,1.356747,1.295045,0.110003,0.229064,0.206774
0.050000,1.413145,0.903768,1.421807,1.301204,0.123176,0.263461,0.225157
0.050000,1.476753,0.918997,1.487214,1.308122,0.138361,0.303710,0.245090
0.050000,1.540408,0.935644,1.553009,1.315916,0.155895,0.350679,0.266772
0.050000,1.604093,0.953849,1.619246,1.324724,0.176158,0.405255,0.290428
0.050000,1.667785,0.973774,1.685981,1.334703,0.199567,0.468182,0.316322
0.050000,1.731447,0.995604,1.753282,1.346031,0.226556,0.539779,0.344757
0.050000,1.795033,1.019552,1.821228,1.358907,0.257532,0.619511,0.376080
0.050000,1.858471,1.045860,1.889905,1.373547,0.292796,0.705281,0.410687
0.050000,1.921664,1.074809,1.959413,1.390167,0.332402,0.792115,0.449022
0.050000,1.984475,1.106712,2.029861,1.408963,0.375922,0.870410,0.491575
0.050000,2.046708,1.141922,2.101365,1.430068,0.422090,0.923355,0.538863
0.050000,2.108098,1.180817,2.174039,1.453482,0.468282,0.923841,0.591406
0.050000,2.168277,1.223792,2.247988,1.478976,0.509881,0.831986,0.649673
0.050000,2.226760,1.271222,2.323286,1.505959,0.539666,0.595704,0.713998
0.050000,2.282917,1.323416,2.399953,1.533341,0.547631,0.159297,0.784473
0.050000,2.335981,1.380545,2.477925,1.559437,0.521921,-0.514213,0.860810
0.050000,2.385075,1.442568,2.557025,1.582019,0.451644,-1.405537,0.942221
0.050000,2.429292,1.509154,2.636956,1.598601,0.331650,-2.399882,1.027358
0.050000,2.467812,1.579667,2.717305,1.606982,0.167605,-3.280902,1.114380
0.050000,2.500034,1.653212,2.797598,1.605878,-0.022066,-3.793417,1.201153
0.050000,2.525673,1.728748,2.877367,1.595364,-0.210289,-3.764462,1.285563
0.050000,2.544781,1.805239,2.956209,1.576842,-0.370442,-3.203054,1.365811
0.050000,2.557700,1.881786,3.033838,1.552582,-0.485193,-2.295018,1.440608
0.050000,2.564968,1.957693,3.110092,1.525079,-0.550056,-1.297257,1.509227
0.050000,2.567215,2.032485,3.184918,1.496528,-0.571016,-0.419201,1.571434
0.050000,2.565084,2.105882,3.258346,1.468562,-0.559332,0.233678,1.627363
0.050000,2.559179,2.177751,3.330457,1.442218,-0.526878,0.649088,1.677378
0.050000,2.550041,2.248062,3.401359,1.418043,-0.483499,0.867582,1.721968
0.050000,2.538136,2.316851,3.471171,1.396233,-0.436209,0.945797,1.761664
0.050000,2.523865,2.384193,3.540009,1.376761,-0.389438,0.935419,1.796992
0.050000,2.507562,2.450183,3.607983,1.359477,-0.345664,0.875481,1.828443
0.050000,2.489513,2.514923,3.675192,1.344175,-0.306052,0.792224,1.856461
0.050000,2.469955,2.578515,3.741723,1.330627,-0.270963,0.701795,1.881441
0.050000,2.449091,2.641057,3.807654,1.318612,-0.240297,0.613309,1.903727
0.050000,2.427094,2.702643,3.873050,1.307925,-0.213729,0.531373,1.923617
0.050000,2.404112,2.763358,3.937969,1.298384,-0.190834,0.457892,1.941367
0.050000,2.380273,2.823282,4.002460,1.289825,-0.171172,0.393248,1.957198
0.050000,2.355689,2.882486,4.066566,1.282109,-0.154322,0.336995,1.971299
0.050000,2.330457,2.941036,4.130321,1.275114,-0.139905,0.288346,1.983832
0.050000,2.304666,2.998993,4.193758,1.268734,-0.127586,0.246364,1.994935
0.050000,2.278393,3.056412,4.256902,1.262880,-0.117081,0.210116,2.004726
0.050000,2.251708,3.113342,4.319776,1.257473,-0.108144,0.178734,2.013304
0.050000,2.224677,3.169830,4.382398,1.252445,-0.100571,0.151449,2.020755
0.050000,2.197360,3.225917,4.444785,1.247735,-0.094193,0.127567,2.027151
0.050000,2.169810,3.281644,4.506949,1.243292,-0.088868,0.106506,2.032551
0.050000,2.142081,3.337045,4.568903,1.239068,-0.084480,0.087751,2.037003
0.050000,2.114222,3.392155,4.630654,1.235021,-0.080937,0.070858,2.040549
0.050000,2.086281,3.447004,4.692209,1.231113,-0.078165,0.055444,2.043219
0.050000,2.058303,3.501620,4.753575,1.227307,-0.076107,0.041168,2.045036
0.050000,2.030335,3.556032,4.814753,1.223571,-0.074720,0.027727,2.046016
0.050000,2.002420,3.610263,4.875747,1.219872,-0.073978,0.014842,2.046166
0.050000,1.974605,3.664337,4.936556,1.216179,-0.073866,0.002253,2.045489
0.050000,1.946933,3.718276,4.997179,1.212460,-0.074380,-0.010292,2.043979
0.050000,1.919451,3.772100,5.057613,1.208683,-0.075532,-0.023042,2.041622
0.050000,1.892207,3.825828,5.117854,1.204816,-0.077345,-0.036254,2.038398
0.050000,1.865250,3.879478,5.177895,1.200823,-0.079855,-0.050199,2.034280
0.050000,1.838632,3.933064,5.237728,1.196668,-0.083113,-0.065170,2.029231
0.050000,1.812406,3.986601,5.297344,1.192308,-0.087188,-0.081495,2.023204
0.050000,1.786630,4.040101,5.356729,1.187700,-0.092165,-0.099540,2.016145
0.050000,1.761367,4.093573,5.415868,1.182792,-0.098152,-0.119728,2.007986
0.050000,1.736683,4.147025,5.474745,1.177529,-0.105279,-0.142544,1.998648
0.050000,1.712649,4.200461,5.533337,1.171843,-0.113706,-0.168553,1.988036
0.050000,1.689344,4.253882,5.591620,1.165662,-0.123626,-0.198402,1.976039
0.050000,1.666853,4.307283,5.649565,1.158898,-0.135268,-0.232840,1.962526
0.050000,1.645268,4.360657,5.707138,1.151453,-0.148904,-0.272704,1.947346
0.050000,1.624694,4.413986,5.764298,1.143211,-0.164849,-0.318914,1.930319
0.050000,1.605241,4.467247,5.821000,1.134037,-0.183470,-0.372415,1.911236
0.050000,1.587035,4.520405,5.877189,1.123779,-0.205175,-0.434094,1.889856
0.050000,1.570212,4.573412,5.932802,1.112258,-0.230403,-0.504557,1.865894
0.050000,1.554919,4.626205,5.987766,1.099279,-0.259593,-0.583806,1.839026
0.050000,1.541319,4.678704,6.041997,1.084623,-0.293124,-0.670618,1.808874
0.050000,1.529586,4.730802,6.095400,1.068062,-0.331201,-0.761550,1.775013
0.050000,1.519902,4.782369,6.147869,1.049379,-0.373671,-0.849393,1.736968
