dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000979,1.000000,0.001129,0.045156,0.903111,18.062222,0.000085
0.050000,0.004366,1.000001,0.004516,0.090311,0.903111,0.000000,0.000379
0.050000,0.010010,1.000004,0.010160,0.135467,0.903111,0.000000,0.000870
0.050000,0.017912,1.000014,0.018062,0.180622,0.903111,-0.000000,0.001562
0.050000,0.028072,1.000034,0.028222,0.225778,0.903111,0.000000,0.002456
0.050000,0.040490,1.000072,0.040640,0.270933,0.903111,0.000000,0.003558
0.050000,0.055165,1.000134,0.055316,0.316089,0.903111,-0.000000,0.004871
0.050000,0.072098,1.000229,0.072249,0.361244,0.903111,0.000000,0.006404
0.050000,0.091289,1.000369,0.091440,0.406400,0.903111,0.000000,0.008163
0.050000,0.112737,1.000565,0.112889,0.451556,0.903111,0.000000,0.010156
0.050000,0.136442,1.000832,0.136596,0.496711,0.903111,0.000000,0.012395
0.050000,0.162404,1.001186,0.162560,0.541867,0.903111,0.000000,0.014891
0.050000,0.190623,1.001646,0.190782,0.587022,0.903111,-0.000000,0.017657
0.050000,0.221097,1.002230,0.221262,0.632178,0.903111,0.000000,0.020708
0.050000,0.253827,1.002963,0.254000,0.677333,0.903111,0.000000,0.024063
0.050000,0.288810,1.003869,0.288996,0.722489,0.903111,-0.000000,0.027740
0.050000,0.326047,1.004976,0.326249,0.767644,0.903111,0.000000,0.031763
0.050000,0.365536,1.006318,0.365760,0.812800,0.903111,-0.000000,0.036158
0.050000,0.407273,1.007927,0.407529,0.857956,0.903111,0.000000,0.040954
0.050000,0.451258,1.009844,0.451556,0.903111,0.903111,-0.000000,0.046185
0.050000,0.497487,1.012112,0.497840,0.948267,0.903111,0.000000,0.051889
0.050000,0.545956,1.014779,0.546382,0.993422,0.903111,-0.000000,0.058112
0.050000,0.596660,1.017901,0.597182,1.038578,0.903111,0.000000,0.064905
0.050000,0.649593,1.021537,0.650240,1.083733,0.903111,0.000000,0.072328
0.050000,0.704747,1.025757,0.705556,1.128889,0.903111,0.000000,0.080449
0.050000,0.762113,1.030636,0.763129,1.174044,0.903111,-0.000000,0.089351
0.050000,0.821678,1.036264,0.822960,1.219200,0.903111,0.000000,0.099129
0.050000,0.882307,1.042614,0.883920,1.219200,0.000000,-18.062222,0.109695
0.050000,0.942862,1.049624,0.944880,1.219200,0.000000,0.000000,0.120928
0.050000,1.003332,1.057336,1.005840,1.219200,0.000000,0.000000,0.132895
0.050000,1.063702,1.065795,1.066800,1.219200,0.000000,0.000000,0.145670
0.050000,1.123954,1.075051,1.127760,1.219200,0.000000,0.000000,0.159341
0.050000,1.184070,1.085159,1.188720,1.219200,0.000000,0.000000,0.174005
0.050000,1.244025,1.096180,1.249680,1.219200,0.000000,0.000000,0.189773
0.050000,1.303791,1.108181,1.310640,1.219200,0.000000,0.000000,0.206774
0.050000,1.363336,1.121237,1.371600,1.219200,0.000000,0.000000,0.225157
0.050000,1.422619,1.135430,1.432560,1.219200,0.000000,0.000000,0.245090
0.050000,1.481595,1.150852,1.493520,1.219200,0.000000,0.000000,0.266772
0.050000,1.540206,1.167606,1.554480,1.219200,0.000000,0.000000,0.290428
0.050000,1.598384,1.185805,1.615440,1.219200,0.000000,0.000000,0.316322
0.050000,1.656047,1.205577,1.676400,1.219200,0.000000,0.000000,0.344757
0.050000,1.713093,1.227060,1.737360,1.219200,0.000000,0.000000,0.376080
0.050000,1.769401,1.250409,1.798320,1.219200,0.000000,0.000000,0.410687
0.050000,1.824820,1.275793,1.859280,1.219200,0.000000,0.000000,0.449022
0.050000,1.879168,1.303395,1.920240,1.219200,0.000000,0.000000,0.491575
0.050000,1.932222,1.333407,1.981200,1.219200,0.000000,0.000000,0.538863
0.050000,1.983713,1.366025,2.042160,1.219200,0.000000,0.000000,0.591406
0.050000,2.033318,1.401443,2.103120,1.219200,0.000000,0.000000,0.649673
0.050000,2.080660,1.439830,2.164080,1.219200,0.000000,0.000000,0.713998
0.050000,2.125308,1.481317,2.225040,1.219200,0.000000,0.000000,0.784473
0.050000,2.166789,1.525967,2.286000,1.219200,0.000000,0.000000,0.860810
0.050000,2.204617,1.573749,2.346960,1.219200,0.000000,0.000000,0.942221
0.050000,2.238332,1.624515,2.407920,1.219200,0.000000,0.000000,1.027358
0.050000,2.267549,1.677995,2.468880,1.219200,0.000000,0.000000,1.114380
0.050000,2.292003,1.733814,2.529840,1.219200,0.000000,0.000000,1.201153
0.050000,2.311587,1.791524,2.590800,1.219200,0.000000,0.000000,1.285563
0.050000,2.326352,1.850652,2.651760,1.219200,0.000000,0.000000,1.365811
0.050000,2.336488,1.910749,2.712720,1.219200,0.000000,0.000000,1.440608
0.050000,2.342291,1.971420,2.773680,1.219200,0.000000,0.000000,1.509227
0.050000,2.344115,2.032343,2.834640,1.219200,0.000000,0.000000,1.571434
0.050000,2.342340,2.093269,2.895600,1.219200,0.000000,0.000000,1.627363
0.050000,2.337345,2.154018,2.956560,1.219200,0.000000,0.000000,1.677378
0.050000,2.329485,2.214464,3.017520,1.219200,0.000000,0.000000,1.721968
0.050000,2.319088,2.274527,3.078480,1.219200,0.000000,0.000000,1.761664
0.050000,2.306448,2.334158,3.139440,1.219200,0.000000,0.000000,1.796992
0.050000,2.291826,2.393336,3.200400,1.219200,0.000000,0.000000,1.828443
0.050000,2.275454,2.452055,3.261360,1.219200,0.000000,0.000000,1.856461
0.050000,2.257533,2.510319,3.322320,1.219200,0.000000,0.000000,1.881441
0.050000,2.238242,2.568145,3.383280,1.219200,0.000000,0.000000,1.903727
0.050000,2.217737,2.625552,3.444240,1.219200,0.000000,0.000000,1.923617
0.050000,2.196156,2.682563,3.505200,1.219200,0.000000,0.000000,1.941367
0.050000,2.173622,2.739205,3.566160,1.219200,0.000000,0.000000,1.957198
0.050000,2.150244,2.795503,3.627120,1.219200,0.000000,0.000000,1.971299
0.050000,2.126119,2.851486,3.688080,1.219200,0.000000,0.000000,1.983832
0.050000,2.101334,2.907180,3.749040,1.219200,0.000000,0.000000,1.994935
0.050000,2.075969,2.962612,3.810000,1.219200,0.000000,0.000000,2.004726
0.050000,2.050097,3.017809,3.870960,1.219200,0.000000,0.000000,2.013304
0.050000,2.023784,3.072797,3.931920,1.219200,0.000000,0.000000,2.020755
0.050000,1.997090,3.127602,3.992880,1.219200,0.000000,0.000000,2.027151
0.050000,1.970075,3.182249,4.053840,1.219200,0.000000,0.000000,2.032551
0.050000,1.942790,3.236762,4.114800,1.219200,0.000000,0.000000,2.037003
0.050000,1.915288,3.291165,4.175760,1.219200,0.000000,0.000000,2.040549
0.050000,1.887617,3.345483,4.236720,1.219200,0.000000,0.000000,2.043219
0.050000,1.859824,3.399739,4.297680,1.219200,0.000000,0.000000,2.045036
0.050000,1.831956,3.453956,4.358640,1.219200,0.000000,0.000000,2.046016
0.050000,1.804057,3.508157,4.419600,1.219200,0.000000,0.000000,2.046166
0.050000,1.776172,3.562366,4.480560,1.219200,0.000000,0.000000,2.045489
0.050000,1.748347,3.616604,4.541520,1.219200,0.000000,0.000000,2.043979
0.050000,1.720626,3.670897,4.602480,1.219200,0.000000,0.000000,2.041622
0.050000,1.693057,3.725267,4.663440,1.219200,0.000000,0.000000,2.038398
0.050000,1.665687,3.779737,4.724400,1.219200,0.000000,0.000000,2.034280
0.050000,1.638567,3.834332,4.785360,1.219200,0.000000,0.000000,2.029231
0.050000,1.611750,3.889077,4.846320,1.219200,0.000000,0.000000,2.023204
0.050000,1.585292,3.943995,4.907280,1.219200,0.000000,0.000000,2.016145
0.050000,1.559251,3.999113,4.968240,1.219200,0.000000,0.000000,2.007986
0.050000,1.533694,4.054457,5.029200,1.219200,0.000000,0.000000,1.998648
0.050000,1.508689,4.110052,5.090160,1.219200,0.000000,0.000000,1.988036
0.050000,1.484314,4.165926,5.151120,1.219200,0.000000,0.000000,1.976039
0.050000,1.460652,4.222107,5.212080,1.219200,0.000000,0.000000,1.962526
0.050000,1.437799,4.278620,5.273040,1.219200,0.000000,0.000000,1.947346
0.050000,1.415858,4.335494,5.334000,1.219200,0.000000,0.000000,1.930319
0.050000,1.394946,4.392753,5.394960,1.219200,0.000000,0.000000,1.911236
0.050000,1.375195,4.450424,5.455920,1.219200,0.000000,0.000000,1.889856
0.050000,1.356756,4.508527,5.516880,1.219200,0.000000,0.000000,1.865894
0.050000,1.339797,4.567079,5.577840,1.219200,0.000000,0.000000,1.839026
0.050000,1.324512,4.626089,5.638800,1.219200,0.000000,0.000000,1.808874
0.050000,1.311122,4.685557,5.699760,1.219200,0.000000,0.000000,1.775013
0.050000,1.299876,4.745467,5.760720,1.219200,0.000000,0.000000,1.736968
0.050000,1.291055,4.805781,5.821680,1.219200,0.000000,0.000000,1.694223
0.050000,1.284976,4.866431,5.882640,1.219200,0.000000,0.000000,1.646244
0.050000,1.281985,4.927310,5.943600,1.219200,0.000000,0.000000,1.592521
0.050000,1.282454,4.988259,6.004560,1.219200,0.000000,0.000000,1.532631
0.050000,1.286764,5.049056,6.065520,1.219200,0.000000,0.000000,1.466343
0.050000,1.295284,5.109404,6.126480,1.219200,0.000000,0.000000,1.393741
0.050000,1.308334,5.168935,6.187440,1.219200,0.000000,0.000000,1.315360
0.050000,1.326148,5.227215,6.248400,1.219200,0.000000,0.000000,1.232282
0.050000,1.348832,5.283777,6.309360,1.219200,0.000000,0.000000,1.146136
0.050000,1.376337,5.338158,6.370320,1.219200,0.000000,0.000000,1.058952
0.050000,1.408452,5.389950,6.431280,1.219200,0.000000,0.000000,0.972893
0.050000,1.444832,5.438842,6.492240,1.219200,0.000000,0.000000,0.889940
0.050000,1.485039,5.484643,6.553200,1.219200,0.000000,0.000000,0.811634
0.050000,1.527413,5.528433,6.614160,1.219200,0.000000,0.000000,0.821574
0.050000,1.567743,5.574136,6.675120,1.219200,0.000000,0.000000,0.873049
0.050000,1.605800,5.621751,6.736080,1.219200,0.000000,0.000000,0.919038
0.050000,1.641765,5.670966,6.797040,1.219200,0.000000,0.000000,0.959504
0.050000,1.675846,5.721505,6.858000,1.219200,0.000000,0.000000,0.994565
0.050000,1.708272,5.773123,6.918960,1.219200,0.000000,0.000000,1.024423
0.050000,1.739273,5.825610,6.979920,1.219200,0.000000,0.000000,1.049319
0.050000,1.769085,5.878782,7.040880,1.219200,0.000000,0.000000,1.069500
0.050000,1.797940,5.932479,7.101840,1.219200,0.000000,0.000000,1.085191
0.050000,1.826066,5.986563,7.162800,1.219200,0.000000,0.000000,1.096580
0.050000,1.853688,6.040905,7.223760,1.219200,0.000000,0.000000,1.103812
0.050000,1.881028,6.095391,7.284720,1.219200,0.000000,0.000000,1.106982
0.050000,1.908304,6.149908,7.345680,1.219200,0.000000,0.000000,1.106132
0.050000,1.935736,6.204347,7.406640,1.219200,0.000000,0.000000,1.101250
0.050000,1.963544,6.258595,7.467600,1.219200,0.000000,0.000000,1.092273
0.050000,1.991951,6.312531,7.528560,1.219200,0.000000,0.000000,1.079083
0.050000,2.021183,6.366024,7.589520,1.219200,0.000000,0.000000,1.061517
0.050000,2.051470,6.418926,7.650480,1.219200,0.000000,0.000000,1.039369
0.050000,2.083046,6.471069,7.711440,1.219200,0.000000,0.000000,1.012402
0.050000,2.116144,6.522258,7.772400,1.219200,0.000000,0.000000,0.980370
